Host_name,Property_types,Prices_per_night,Check_ins,Check_outs,Cleaning_fees,Location,Ratings,Num_reviews,Camas,Baños,Maximum_guests,Dormitorios
Joar,Habitación,46.0,Llegada a partir de las 10:00,Salida antes de las 12:00,10.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,,2.0,
Valentina Sofia,Habitación,45.0,Horario de llegada: de 15:00 a 23:00,Salida antes de las 11:00,20.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,,,
Joonas,Alojamiento entero,147.0,Llegada a partir de las 15:00,Salida antes de las 12:00,126.0,"Barcelona, Catalunya, España",0.0,0.0,2.0,1.0,4.0,2.0
Jan,Alojamiento entero,55.0,Horario de llegada: de 18:00 a 23:00,Salida antes de las 11:00,80.0,"Barcelona, Catalunya, España",4.68,19.0,1.0,1.0,2.0,1.0
Ele,Habitación,56.0,Horario de llegada: de 14:00 a 21:00,Salida antes de las 12:00,48.0,"Barcelona, Catalunya, España",5.0,4.0,2.0,1.0,1.0,1.0
Magdalena,Habitación,50.0,Horario de llegada: de 15:00 a 0:00,Salida antes de las 12:00,43.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,,1.0,
David,Habitación,46.0,Horario de llegada: de 17:00 a 2:00,Salida antes de las 11:00,15.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,,1.0,
Generator,Habitación,29.0,Horario de llegada: de 14:00 a 0:00,Salida antes de las 10:00,,,4.75,4.0,,,1.0,
Badajoz,Alojamiento entero,110.0,Llegada a partir de las 15:00,Salida antes de las 11:00,60.0,"Barcelona, Catalunya, España",0.0,0.0,6.0,2.0,6.0,3.0
Carmen,Alojamiento entero,130.0,Máximo 3 huéspedes,No consta que el alojamiento tenga un detector de monóxido de carbono,30.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,1.0,3.0,1.0
Guido,Habitación,59.0,Horario de llegada: de 13:00 a 15:00,Salida antes de las 10:00,50.0,"Barcelona, Catalunya, España",4.8,10.0,1.0,,2.0,
St Christophers Barcelona,Habitación,31.0,Llegada a partir de las 15:00,Salida antes de las 11:00,,"Barcelona, España",4.4,989.0,1.0,,1.0,
Danny,Habitación,50.0,Llegada a partir de las 15:00,Salida antes de las 11:00,25.0,"Barcelona, Catalunya, España",4.44,25.0,1.0,,3.0,
Mada,Alojamiento entero,95.0,Máximo 4 huéspedes,No hay alarma de monóxido de carbono,125.0,"Barcelona, Catalunya, España",0.0,2.0,2.0,1.0,4.0,2.0
Cleudes,Habitación,36.0,Horario de llegada: de 15:00 a 22:00,Salida antes de las 9:00,20.0,"Barcelona, Catalunya, España",0.0,2.0,1.0,,2.0,
Raffaele,Alojamiento entero,115.0,Llegada a partir de las 15:00,Salida antes de las 11:00,70.0,"Barcelona, Catalunya, España",5.0,3.0,1.0,1.0,2.0,1.0
Alerson,Habitación,46.0,Horario de llegada: de 14:00 a 21:00,Salida antes de las 10:00,15.0,"Barcelona, Catalunya, España",0.0,2.0,1.0,,2.0,
Unite Hostel,Habitación,26.0,Llegada a partir de las 14:00,Salida antes de las 11:00,,,4.46,2770.0,1.0,,1.0,
Hola,Habitación,29.0,Horario de llegada: de 14:00 a 2:00,Salida antes de las 11:00,,,4.47,2190.0,1.0,5.0,1.0,
Generator,Habitación,25.0,Horario de llegada: de 14:00 a 0:00,Salida antes de las 10:00,,,4.75,4.0,,,1.0,
Green House,Habitación,74.0,Llegada a partir de las 15:00,Salida antes de las 11:00,,,4.49,204.0,2.0,1.5,2.0,1.0
Reno,Habitación,38.0,Horario de llegada: de 14:00 a 23:00,Salida antes de las 11:00,25.0,"Barcelona, Catalunya, España",0.0,2.0,1.0,,2.0,
Antonia Y Andres,Habitación,35.0,Horario de llegada: de 15:00 a 20:00,Salida antes de las 10:00,,"Barcelona, Catalunya, España",0.0,2.0,1.0,,2.0,
Barcelona Urbany Hostel,Habitación,23.0,Llegada a partir de las 15:00,Salida antes de las 10:00,,"Barcelona, Catalunya, España",4.23,364.0,,,1.0,
Gian,Alojamiento entero,105.0,Llegada a partir de las 14:00,Salida antes de las 11:00,60.0,,0.0,0.0,3.0,1.0,4.0,2.0
