urls,timestamp,record_id,Titles,Host_name,Property_types,Prices_per_night,Check_ins,Check_outs,Cleaning_fees,Location,Ratings,Num_reviews,Dormitorios,Camas,Baños,Maximum_guests
http://www.airbnb.e/room/961287943216806993?adut=1&chidren=0&enabe_m3_private_room=true&infant=0&pet=0&earch_mo=reguar_earch&check_in=2024-12-08&check_out=2024-12-13&ource_impreion_id=p3_1730223960_P3j5IocM6wftD1iU&previou_page_ection_name=1000&ferated_earch_id=3cd7215a-e721-4878-b3f0-173aec78c2,2024-10-29 21:15:36,961287943216806993,"Decubre nuetra habitación dobe en  corazón  embemático barrio  Eixampe  Barcona. Dieñada para mayor comodidad y veniencia, eta epacioa habitación cuenta  do  eparada, o  garantiza a privacidad  cada huéped. Lo ervicio morno incuyen TV intigente, mininevera y caja fuerte para proteger tu objeto  vaor. Déitate   ujo     equipado  acceorio  primera caidad. Nuetra ubicación priviegiada etá a oo 15 minuto a pie  a majetuoa Sagrada Famiia y a oo 5 minuto a pie  a Etación  rte.E epacioLa habitación tiene 3  ,  , TV intigente, mininevera y a caja fuerte. Se proporcionan a toaa y o aeo, aí como a ábana. La habitación tiene a ventana interior,  no e pue abrir.Servicio y zona comeLa recepción  hot etá abierta  07:00 a 23:00. Lo huépe podrán difrutar en nuetro vetíbuo. Para accer a a egda panta  hot tamo  acenor intaado.Otro apecto tacabeTodo o huépe etán obigado a pagar  impueto micipa  Barcona, también ocido como  impueto turítico  5,50 euro por perona y noche. Eto no etá incuido en  precio  hot y e cobrará por eparado a a egada.Número  regitroHB-000087", Green Houe,"Habitación en hot en Barcona, Epaña",74 €,-   - 15:00,11:00,,,0.0,201.0,1.0,2.0,0.0,2
http://www.airbnb.e/room/1260094358313659968?adut=1&chidren=0&enabe_m3_private_room=true&infant=0&pet=0&earch_mo=reguar_earch&check_in=2024-11-04&check_out=2024-11-09&ource_impreion_id=p3_1730223959_P3gvJHiBVFvF96WS&previou_page_ection_name=1000&ferated_earch_id=3cd7215a-e721-4878-b3f0-173aec78c2,2024-10-29 21:15:36,1260094358313659968,"Me encanta viajar, com y ocer ugare y perona. Soy muy trabajadora, tengo 3 hijo y a pear  er joven ya tengo 2 nieto.", Diana Maria,"Aojamiento entero: oft en Barcona, Epaña",73 €,15:00 - 22:00,11:00,28 €,"Barcona, Cataya, Epaña",0.0,0.0,1.0,2.0,1.0,3
http://www.airbnb.e/room/1210295928648344258?adut=1&category_tag=Tag%3A8678&chidren=0&enabe_m3_private_room=true&infant=0&pet=0&photo_id=1962958323&earch_mo=reguar_earch&check_in=2024-11-04&check_out=2024-11-09&ource_impreion_id=p3_1730223960_P3u-AN5StVDQKpG&previou_page_ection_name=1000&ferated_earch_id=3cd7215a-e721-4878-b3f0-173aec78c2,2024-10-29 21:15:36,1210295928648344258,"Cancación gratuita ante  3 nov. Si canca ante  a fecha  egada (4 nov.), recibirá  reemboo parcia.", Vero,"Habitación en Barcona, Epaña",36 €,15:00 - 20:00,12:00,31 €,"Barcona, Cataya, Epaña",0.0,0.0,0.0,1.0,0.5,1
http://www.airbnb.e/room/1192692130835760091?adut=1&chidren=0&enabe_m3_private_room=true&infant=0&pet=0&earch_mo=reguar_earch&check_in=2024-11-21&check_out=2024-11-26&ource_impreion_id=p3_1730223960_P31HwkIughTtRL&previou_page_ection_name=1000&ferated_earch_id=3cd7215a-e721-4878-b3f0-173aec78c2,2024-10-29 21:15:36,1192692130835760091,"Difruta  a privacidad   ete  acogedor tranquio y céntrico, en a ubicación epéndida, en  hitórico barrio  Gótico, a poco minuto  a paya. Eta en  emiótano,  área e    23 m incuido   .  Comodida:  cafetera Nepreo, hervidor  agua, toaa y artícuo  aeo.E epacioDe a entrada  edificio, entra a  vetíbuo y baja 6 ecaone, acce a a propiedad,  Minifat e  peño y acogedor epacio   oo e para ti .Servicio y zona come hay zona come, e a habitación privada  aida a a caeNúmero  regitroExempt", Ee,"Habitación privada en: oft en Barcona, Epaña",58 €,14:00 - 21:00,12:00,20 €,"Barcona, Cataya, Epaña",0.0,4.0,1.0,2.0,1.0,1
http://www.airbnb.e/room/1202828460995202150?adut=1&chidren=0&enabe_m3_private_room=true&infant=0&pet=0&earch_mo=reguar_earch&check_in=2024-12-08&check_out=2024-12-13&ource_impreion_id=p3_1730223960_P3_65ATUq5P6DjUO&previou_page_ection_name=1000&ferated_earch_id=3cd7215a-e721-4878-b3f0-173aec78c2,2024-10-29 21:15:36,1202828460995202150,"Situado en peno Barrio Gótico, en  corazón  Barcona. A ado  Mercado  Santa Caterina, a Catedra y  Born. A do cae  Paau  a Múica Cataana (a  a principae aa  cierto  mdo) y muy cercano a Paza Cataya, a a zona comerciae  Barcona (Ramba, Paeo  Gracia, Porta Ferria, Porta  ’Ang) y a do pao  a igeia  Santa María  Mar. Lic. Prov. egún ent. 129/2024  16/04/24 exp. Ajtament 01-IU2019-2373> Pio 3º 1ªE epacioApartamento exterior 54 m² en edificio rehabiitado en 2010 (competamente nuevo),  acenor, en c/ Sant Pere Mé Baix - Ciutat Va. Totamente amuebado: ectrodomético (avadora, nevera, horno, microonda, totadora, hervidor éctrico, ecador  po, pancha), enere cocina, vajia y cubertería, ropa  hogar (manta, toaa, ábana). Conta : • 1       150 cm. • 1       135 cm. • 1   ducha • aón comedor  cocina americana • caefacción  • Ventiadore en a habitacione. 01-IU2019-2375  - Licencia proviiona  1_2019_0519213_1 / 18_9_2019 / Ajtament  Barcona  formidad  a entencia núm. 129/2024  16  abri dictada por  Juzgado  o Contencioo-Adminitrativo núm. 16  Barcona y  formidad  a circuar interpretativa  12  marzo  2014  a Generaitat  Cataya (pio 3º-1ª)Número  regitroHUTB-000000", Critian,"Aojamiento entero: apartamento en Barcona, Epaña",80 €,-   - 15:00,11:00,45 €,"Barcona, Cataya, Epaña",0.0,4.0,2.0,2.0,1.0,4
http://www.airbnb.e/room/1167927143759339825?adut=1&category_tag=Tag%3A8678&chidren=0&enabe_m3_private_room=true&infant=0&pet=0&photo_id=1918858382&earch_mo=reguar_earch&check_in=2024-12-02&check_out=2024-12-07&ource_impreion_id=p3_1730223960_P3Fx7Vg3M1UqXoU&previou_page_ection_name=1000&ferated_earch_id=3cd7215a-e721-4878-b3f0-173aec78c2,2024-10-29 21:15:36,1167927143759339825,"Cerca  a paya y en centro. La zona e muy turítica y a ocaización perfecta para viitar a cuidad. Cerca  bu y metro. En a caa vive a gatita muy tranquia.E epacio e permite a entrada  gente, oo a perona  reerva.Servicio y zona comeMuy cerca  a paya a 2 minuto.Durante tu etanciaE importante a perona  eté tranquia y no moete a o vecinoOtro apecto tacabeE uo  a avadora tiene  cote  6 o programa hata 30 minuto y a 8  má minuto. E uo  a avadora oo e pue reaizar en mi preencia y yo oy a  voy a por en marcha. Pongo eta tarifa, por en  paado varia vece me he entrado a avadora rota.Número  regitroHutb-252742",Marina,"Habitación en Barcona, Epaña",40 €,20:00 - 1:00,11:00,5 €,"Barcona, Cataya, Epaña",0.0,0.0,0.0,1.0,0.5,1
http://www.airbnb.e/room/1093382940108512105?adut=1&category_tag=Tag%3A8678&chidren=0&enabe_m3_private_room=true&infant=0&pet=0&photo_id=1843038712&earch_mo=reguar_earch&check_in=2025-01-06&check_out=2025-01-11&ource_impreion_id=p3_1730223960_P3ucoZL5a0N2Ntij&previou_page_ection_name=1000&ferated_earch_id=3cd7215a-e721-4878-b3f0-173aec78c2,2024-10-29 21:15:36,1093382940108512105,"En a  a cae principae  a zona, aredor  tienda, cafetería, cerca  a etacione  metro L3 - L4 y ugare turítico como P. Cataya, Catedra y a a cuadra  mar. Eta increíbe habitación (20 m2) y tiene    para com oo   otro , y todo o  e pue ver en a foto. E pio cuenta  aón y comedor, cocina,  extra, tratero y epacio a aire ibre, 120 m2 competamente amuebado  todo o neceario, o único  fata e tu equipaje y buen rooNúmero  regitroExempt",Guido,"Habitación en Barcona, Epaña",59 €,13:00 - 15:00,10:00,50 €,"Barcona, Cataya, Epaña",0.0,8.0,0.0,1.0,0.5,2
http://www.airbnb.e/room/1263117591292794971?adut=1&chidren=0&enabe_m3_private_room=true&infant=0&pet=0&earch_mo=reguar_earch&check_in=2024-11-16&check_out=2024-11-21&ource_impreion_id=p3_1730223960_P3jY1Th4WebW-tjp&previou_page_ection_name=1000&ferated_earch_id=3cd7215a-e721-4878-b3f0-173aec78c2,2024-10-29 21:15:36,1263117591292794971,"La ubicación muy buena, cerca  todo i etá c autoNúmero  regitroHUTB-009325", Carmen,"Aojamiento entero: apartamento en Barcona, Epaña",130 €,Máximo 3 huépe,,30 €,"Barcona, Cataya, Epaña",0.0,0.0,1.0,1.0,1.0,3
http://www.airbnb.e/room/1247824320074399619?adut=1&category_tag=Tag%3A8678&chidren=0&enabe_m3_private_room=true&infant=0&pet=0&photo_id=1995473672&earch_mo=reguar_earch&check_in=2024-12-19&check_out=2024-12-24&ource_impreion_id=p3_1730223960_P3UmOMM0RY9NFww&previou_page_ection_name=1000&ferated_earch_id=3cd7215a-e721-4878-b3f0-173aec78c2,2024-10-29 21:15:36,1247824320074399619,"Difruta  a enciez  ete  tranquio y céntrico.E epacioOfrecemo eómica habitación     en  centro  a ciudad.- Situado entre Paza Epaña y  Paza Cataya y La Ramba.- Cerca  comercio, etación  metro, retaurante y upermercado. Tiene todo o  neceita para tu vacacione en Barcona.- La etación  metro má cercana e Paeig  Gracia.- La puerta  habitación e cierra  a ave.- WI-FI..Servicio y zona comeRopa   y toaa incuida en  precio.Servicio:- Aire adicionado tiene precio  10€/dia.- Servicio  avanría 10 euro por avado.- Servicio  igna  equipaje: 10 euro hata a 18:00, uego 5 euro por hora, pero no má  a 20:00 (oo  día  aida, previa oicitud).- Ca, 10 euro por día, ujeta a diponibiidad.- Limpieza durante a etancia: 10 euro por día (opciona).Cambio  ropa   y toaa:- para etancia  5 día,  tercer día  etancia;- para etancia uperiore a 5 día, cada 4 día  etancia;- cambio no programado  ropa   o toaa 10 euro.Por motivo  eguridad,  chat  Airbnb e  cana preferido para comicare  o huépe.Otro apecto tacabe:La cocina y 1  e comparten  otro huépe. La área come e impian diariamente.Eta e a caa famiiar, por o  pedimo a o huépe  mann bajo o nive  ruido pué  a 22:00 p.m. e permite a entrada a apartamento a huépe adicionae ( no hayan pagado u etancia) a meno  e acuer previamente.Número  regitroHUTB-001234", Kritina,"Habitación en Barcona, Epaña",28 €,16:00 - 20:00,11:00,24 €,"Barcona, Cataya, Epaña",0.0,0.0,0.0,1.0,0.5,1
http://www.airbnb.e/room/52981104?adut=1&chidren=0&enabe_m3_private_room=true&infant=0&pet=0&earch_mo=reguar_earch&check_in=2024-11-01&check_out=2024-11-06&ource_impreion_id=p3_1730223960_P3JHqrH09UZzyGFp&previou_page_ection_name=1000&ferated_earch_id=3cd7215a-e721-4878-b3f0-173aec78c2,2024-10-29 21:15:36,52981104,"Habitación ia para com hitoria y experiencia  capacidad para hata 8 perona. Tiene 4 . Incuye   , do avabo, aire adicionado, wifi gratuito, ropa   y  epacio  para guardar u equipaje. Toda a  tienen exión USB para cargar u dipoitivo. Unite dipone  habitacione   adaptado para minuváido egún diponibiidad.E etabecimiento no acepta pago en efectivo, oo e pue pagar  tarjeta  crédito.E epacioHota ituado en  entorno priviegiado, en  edificio remoado  a Via Oímpica, a poco pao  a paya. Ofrece ampia habitacione toda   , aire adicionado, WIFI y exión USB en cada .Unite dipone  habitacione privada y compartida,  má  400m2  epacio come  bibioteca, chi out, aa  TV, cocina, aa  creación  múica ectrónica, terraza  oárium y recepción 24h.Deayo bufé por 8,50 € todo o día  7:30 a 10:30 en nuetra aa  ayo. Sección  pate, bueno zumo, café y té  hierba.También hay  epacio  coworking  ornadore diponibe para o huépe. Todo o día e organizan activida tanto ntro como fuera  Unite.Hay  bar/retaurante y aparcamiento (epark) en  edificio.E abergue e encuentra a 10 minuto en biciceta  a Sagrada Famiia y a 500 metro  a parada  metro  a ínea 4 (amaria)  enaza  La Catedra, Paeig  Gràcia y Diagona.E  barrio  a tart-up y etudio  dieño má pionero  a ciudad, paya va Icaria, Barconeta, Born, Port Oimpic.Otro apecto tacabeTenga en cuenta  ete etabecimiento no acepta pago  American Expre.Se rerirá a tarjeta  garantía en  momento  regitro.Lo huépe menore  18 año neceitan  permio  u tutor ega para aojare en  compartido.Un bebé no pue com  .La  e aignarán  día  egada  acuerdo  a preferencia  huéped ntro  nuetra poibiida  acuerdo  a diponibiidad. Para aegurare   todo etén en a mima habitación, reerve a habitación privada.La toaa etán incuida oo en a habitacione privada. Si ha reervado a  en a habitación compartida, recuer traera  uted,  o trario, pue comprara en a recepción por  coto adiciona.UHB cuenta  a aa  viita don pue jar u equipaje ante  check-in y pué  check-out (ervicio  pago). Cuando te aoje tiene  epacio reervado en tu habitación para tu equipaje, recuerda  pue traer tu propio candado y i o ovida no te preocupe por pue comprar o en Recepción (ervicio  pago).Tenga en cuenta  eto ervicio incuyen a tarifa adiciona:Deayo: 8,50 €Cote adiciona  a toaa 5,00 €.Candado 6,00 €.Depóito  ecador  po  20,00 €. Etacionamiento no incuido en a tarifaTaa micipa NO incuida 4,68 € por perona/día  acuerdo  a Ley  Paramento  Catauña. A pagar directamente en  hota. A   10/01/24 cotará 5,50 € por perona y por día.Número  regitroAJ000697", Unite Hot,"Habitación en Barcona, Epaña",37 €,-   - 14:00,11:00,,,0.0,2752.0,0.0,1.0,0.5,1
