urls,timestamp,record_id,Titles,Host_name,Property_types,Prices_per_night,Check_ins,Check_outs,Cleaning_fees,Location,Ratings,Num_reviews,Camas,Baños,Maximum_guests,Dormitorios
https://www.airbnb.es/rooms/1270266469340006214?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2015148890&search_mode=regular_search&check_in=2024-11-25&check_out=2024-11-30&source_impression_id=p3_1730726872_P3vj_Ongl2sdAaWK&previous_page_section_name=1000&federated_search_id=474377fe-633e-4c6f-a11b-e5609cfd007a,2024-11-04 14:30:46,1270266469340006214,"Cancelación gratuita antes del 24 nov. Si cancelas antes de la fecha de llegada (25 nov.), recibirás un reembolso parcial.",Joar,Habitación,46.0,Llegada a partir de las 10:00,Salida antes de las 12:00,10.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,,2.0,
https://www.airbnb.es/rooms/1243254147120959358?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2015735133&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730726872_P38QcbvHB2UsEAkh&previous_page_section_name=1000&federated_search_id=474377fe-633e-4c6f-a11b-e5609cfd007a,2024-11-04 14:30:46,1243254147120959358,Este alojamiento tiene una ubicación estratégica: ¡será muy fácil planear tu visita!El espacioel apartamento está ubicado en el centro de Barcelona.. en el corazón del Raval ..es un apartamento compartido con dos huéspedes más..Servicios y zonas comunesson compartidos con dos huéspedesOtros aspectos destacablesel registro de entrada después de las 11:00 p. m. se cobrará 20 € adicionales cuando llegues.Número de registroExempt,Valentina Sofia,Habitación,45.0,Horario de llegada: de 15:00 a 23:00,Salida antes de las 11:00,20.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,,,
https://www.airbnb.es/rooms/1268163818980729724?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-01&check_out=2024-12-06&source_impression_id=p3_1730726872_P32sKPRCCTJOZhVj&previous_page_section_name=1000&federated_search_id=474377fe-633e-4c6f-a11b-e5609cfd007a,2024-11-04 14:30:46,1268163818980729724,"¡Bienvenido a tu escapada perfecta en el corazón de Barcelona, a tiro de piedra de la bulliciosa Plaça de Catalunya! Este apartamento bellamente reformado ofrece la mezcla ideal de vida moderna y acceso a la ciudad.El espacioEste acogedor apartamento está situado en el último piso, prometiendo un refugio tranquilo sobre las vibrantes calles de la ciudad. Cuenta con dos dormitorios bien equipados: un amplio dormitorio principal y un acogedor dormitorio individual. La sala de estar incluye un cómodo sofá cama que funciona como sofá cama, por lo que es adecuado para un máximo de 4 huéspedes.La cocina contemporánea está completamente equipada, lo que te permite preparar deliciosas comidas con facilidad. El elegante baño con una ducha refrescante se suma a las comodidades modernas del departamento.Ten en cuenta que el edificio no cuenta con elevador, por lo que es una opción encantadora para aquellos que prefieren un poco de ejercicio en su camino a una estancia gratificante. Recomendamos llevar equipaje ligero para mayor comodidad, pero en última instancia, la elección es tuya.Uno de los aspectos más destacados de este edificio es la terraza compartida en la azotea, donde podrás relajarte y desconectar. Con sillas y mesas disponibles, es el lugar perfecto para disfrutar de una comida o una bebida mientras disfrutas de las impresionantes vistas de la ciudad.Sumérgete en la rica cultura y las atracciones de Barcelona, a pocos minutos de tu puerta. ¡Reserva tu estancia hoy mismo y disfruta de la combinación perfecta de comodidad, estilo y ubicación!Número de registroExempt",Joonas,Alojamiento entero,147.0,Llegada a partir de las 15:00,Salida antes de las 12:00,126.0,"Barcelona, Catalunya, España",0.0,0.0,2.0,1.0,4.0,2.0
https://www.airbnb.es/rooms/44247318?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2025-04-01&check_out=2025-04-06&source_impression_id=p3_1730726872_P3XDoHMn5qH4SzVt&previous_page_section_name=1000&federated_search_id=474377fe-633e-4c6f-a11b-e5609cfd007a,2024-11-04 14:30:46,44247318,"ACOGEDOR APARTAMENTO DE PLAYA DE 1 DORMITORIO RENOVADO con VISTAS AL MAR DESDE EL BALCÓN! VIGAS de LADRILLO y MADERA A la vista - MANTUVO EL ENCANTO ORIGINAL! NUEVOS MUEBLES y ELECTRODOMÉSTICOS INCLUYENDO WIFI. 30 SEGUNDOS a LA PLAYA / 10 MINUTOS CAMINANDO al CENTRO de la CIUDAD *32 DÍAS DE ALQUILER MÍNIMOEl espacioRecientemente renovado acogedor apartamento de playa de 1 dormitorio totalmente amueblado disponible para alquileres mínimos de 1 mes. El apartamento está reformado con buen gusto en todas partes y tiene 1 sala de estar, 1 dormitorio y 1 baño, junto con su propio balcón privado con vistas a una calle típica de la Barceloneta. El apartamento está situado en la calle de Sevilla, a solo 30 segundos a pie de la playa de la Barceloneta, bares y restaurantes. Este apartamento está situado en el barrio barcelonés de La Barceloneta. El resto de Barcelona es fácilmente accesible en transporte público o fácilmente accesible a pie o en bicicleta.Las paredes de ladrillo y las vigas de madera han sido completamente renovadas manteniendo el encanto original del pueblo de pescadores de la Barceloneta. Excelentes conexiones de transporte público con autobús y metro. A poca distancia a pie de Las Ramblas y del casco antiguo.FLEXIBLE CHECK-IN/OUT (llegar cuando lo necesites y salir cuando lo desees)WIFI UBICACIÓN PERFECTA - Playa en la puerta! (no hay calles que cruzar)AIRE acondicionado y CALEFACCIÓNSEGUNDO PISO (sin ascensor)Apartamento GIMNASIO de 35 metros cuadrados a 5 minutos a pie (frente a la playa)Ideal para parejas y viajeros solos. No accesible para personas con problemas de movilidad.El apartamento ofrece una sala de estar abierta con una cocina funcional totalmente equipada, donde encontrarás todo lo que necesitas para cocinar cómodamente: - nevera/congelador- horno- estufa de cerámica (2 quemadores)- microondas- fregadero- lavadora/ secadora- cubiertos, vasos, tazas de café, ollas, sartenes, copas de vino, etc.- toalla de cocina En el dormitorio habrá una gran cama doble con un colchón de buena calidad para descansar fácilmente. Hay tablas de madera calientes en el dormitorio y en todo el apartamento. Luces para leer.También hay un cómodo sofá cama (140x200 cm) que también se puede utilizar como cama de día para relajarse, una mesa de comedor con dos sillas y un banco para dos.Potente aire acondicionado y calefacción.",Jan,Alojamiento entero,55.0,Horario de llegada: de 18:00 a 23:00,Salida antes de las 11:00,80.0,"Barcelona, Catalunya, España",4.68,19.0,1.0,1.0,2.0,1.0
https://www.airbnb.es/rooms/1192692130835760091?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-25&check_out=2024-11-30&source_impression_id=p3_1730726872_P3m2PdANsQ5liCGn&previous_page_section_name=1000&federated_search_id=474377fe-633e-4c6f-a11b-e5609cfd007a,2024-11-04 14:30:46,1192692130835760091,"Disfruta de la privacidad  de este alojamiento acogedor tranquilo y céntrico, en una ubicación espléndida, en el histórico barrio del Gótico, a poco minutos de la playa. Esta en un semisótano, el área es  de  23 m incluido el  baño.  Comodidades:  cafetera Nespresso, hervidor de agua, toallas y artículos de aseo.El espacioDe la entrada del edificio, entras a un vestíbulo y bajas 6 escalones, accedes a la propiedad, el Miniflat es un pequeño y acogedor espacio que  solo es para ti .Servicios y zonas comunesNo hay zonas comunes, es una habitación privada con salida a la calleNúmero de registroExempt",Ele,Habitación,56.0,Horario de llegada: de 14:00 a 21:00,Salida antes de las 12:00,48.0,"Barcelona, Catalunya, España",5.0,4.0,2.0,1.0,1.0,1.0
https://www.airbnb.es/rooms/545602057442226577?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1559365984&search_mode=regular_search&check_in=2024-11-30&check_out=2024-12-05&source_impression_id=p3_1730726872_P3Nr3qAgwSl86hDW&previous_page_section_name=1000&federated_search_id=474377fe-633e-4c6f-a11b-e5609cfd007a,2024-11-04 14:30:46,545602057442226577,"Acogedora habitación privada en el centro de Barcelona, barrio del Poble Sec a tres minutos a pié de la estación de metro Paral.el,Funicular de Montjuic y red de autobuses urbanos .Perfecta ubicación para ir hacia cualquier zona de Barcelona Zona de ocio con teatros,salas de fiesta,bingos,bares y restaurantes donde poder degustar tapas y platillos y disfrutar de un merecido relax.El espacioLa habitación se encuentra en un alojamiento privado Se trata de una estancia Acogedora con cerradura que se compone de una cama individual, armario para guardar la ropa, mesita de noche,mesa escritorio con todos los detalles para poder trabajar,estación de carga con entradas usb y enchufes,silla ergonómica y tv.Servicios y zonas comunesHabitación BañoLavaboDurante tu estanciaLos huéspedes se pueden poner en contacto conmigo a través de llamada,correo electrónico y smsOtros aspectos destacablesLa ubicación en la que se encuentra la vivienda nos permite poder visitar tanto la Ramblas,como el Puerto de Barcelona,el CC Maremágnum,La Fira de Plaza d'España y la montaña de Montjuic a tan sólo 10 minutos a pié. Cómo también se puede visitar la playa de la Barceloneta, el Barrio Gótico, Plaza de Catalunya... entre otros muchos lugares más.Número de registroExempt",Magdalena,Habitación,50.0,Horario de llegada: de 15:00 a 0:00,Salida antes de las 12:00,43.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,,1.0,
https://www.airbnb.es/rooms/1279040855576324107?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2020968030&search_mode=regular_search&check_in=2024-11-05&check_out=2024-11-10&source_impression_id=p3_1730726872_P3UHSl4_Gg9IkO48&previous_page_section_name=1000&federated_search_id=474377fe-633e-4c6f-a11b-e5609cfd007a,2024-11-04 14:30:46,1279040855576324107,Este anfitrión tiene 975 evaluaciones de otros alojamientos. Échales un vistazo,David,Habitación,46.0,Horario de llegada: de 17:00 a 2:00,Salida antes de las 11:00,15.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,,1.0,
https://www.airbnb.es/rooms/1252849636674011237?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-07&check_out=2024-11-12&source_impression_id=p3_1730726872_P3Gb30zdo82xjjVb&previous_page_section_name=1000&federated_search_id=474377fe-633e-4c6f-a11b-e5609cfd007a,2024-11-04 14:30:46,1252849636674011237,"Reserva una (o más) camas en este dormitorio compartido de 8 camas, con cuatro literas y un baño privado. Cada litera está equipada con una luz personal, un estante y un casillero debajo de la cama. La habitación tiene aire acondicionado, lo que garantiza una estancia cómoda, con almohadas, edredones y sábanas. Se pueden alquilar toallas en recepción. Este dormitorio es exclusivo para huéspedes mayores de 18 años y ofrece una experiencia sociable y económica.El espacioGenerator Barcelona es un hostal de diseño situado en el corazón de la ciudad, a pocos pasos del famoso Passeig de Gràcia y de la Sagrada Familia. Con una mezcla de habitaciones privadas y dormitorios compartidos, Generator es perfecto para personas que viajan solas, parejas y grupos. El hostal cuenta con recepción 24 horas, wifi gratuito, bar, cafetería y espacios sociales. Con su ambiente vibrante y su ubicación privilegiada, Generator Barcelona es un punto de partida ideal para explorar la cultura y el encanto de la ciudad.Servicios y zonas comunesNos enorgullecemos de garantizar que los huéspedes puedan relajarse en un entorno fresco y cómodo. La decoración de cada una de nuestras habitaciones siempre es fácil de ver; están totalmente equipadas con todos los toques modernos que esperarías también. Reserva habitaciones privadas con terrazas que ofrecen bonitas vistas panorámicas de este lugar único. Alternativamente, para una escapada verdaderamente memorable, hay una suite privada en el ático. También ofrecemos dormitorios pequeños, grandes y solo para mujeres para amigos o viajeros solitarios. Y por supuesto, tendrás acceso a todas nuestras facilidades, incluyendo wifi gratuito, salas de reuniones, espacios chill-out y mucho más.Otros aspectos destacablesNos enorgullecemos de garantizar que los huéspedes puedan relajarse en un entorno fresco y cómodo. La decoración de cada una de nuestras habitaciones siempre es fácil de ver; están totalmente equipadas con todos los toques modernos que esperarías también. Reserva habitaciones privadas con terrazas que ofrecen bonitas vistas panorámicas de este lugar único. Alternativamente, para una escapada verdaderamente memorable, hay una suite privada en el ático. También ofrecemos dormitorios pequeños, grandes y solo para mujeres para amigos o viajeros solitarios. Y por supuesto, tendrás acceso a todas nuestras facilidades, incluyendo wifi gratuito, salas de reuniones, espacios chill-out y mucho más.HABITACIONES PRIVADAS: están disponibles con baño privado. Todas las literas tienen una pantalla de privacidad. Todas las habitaciones incluyen: tomas de corriente, luz LED, ropa de cama y ropa de cama, almacenamiento con cerradura, espejos de cuerpo entero, mesa y silla, unidad colgante para ropa, dispensadores de gel de baño, solo habitaciones individuales.DORMITORIOS:  todas las literas tienen una pantalla de privacidad y cada habitación tiene baños privados con duchas y aseos. Todas las habitaciones incluyen: tomas de corriente, luz LED, ropa de cama y ropa de cama, almacenamiento con cerradura, espejos de cuerpo entero, mesa y silla, unidad colgante de ropa.Número de registroHB-004525",Generator,Habitación,29.0,Horario de llegada: de 14:00 a 0:00,Salida antes de las 10:00,,,4.75,4.0,,,1.0,
https://www.airbnb.es/rooms/1176611230178132461?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730726872_P38bDZovbLL3Fcfe&previous_page_section_name=1000&federated_search_id=474377fe-633e-4c6f-a11b-e5609cfd007a,2024-11-04 14:30:46,1176611230178132461,Desconecta de la rutina en este alojamiento único y relajante.Número de registroHUTB-007416,Badajoz,Alojamiento entero,110.0,Llegada a partir de las 15:00,Salida antes de las 11:00,60.0,"Barcelona, Catalunya, España",0.0,0.0,6.0,2.0,6.0,3.0
https://www.airbnb.es/rooms/1263117591292794971?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-16&check_out=2024-11-21&source_impression_id=p3_1730726872_P3lx8Zb_YbcaRBn1&previous_page_section_name=1000&federated_search_id=474377fe-633e-4c6f-a11b-e5609cfd007a,2024-11-04 14:30:46,1263117591292794971,"La ubicación muy buena, cerca de todo si estás c autoNúmero de registroHUTB-009325",Carmen,Alojamiento entero,130.0,Máximo 3 huéspedes,No consta que el alojamiento tenga un detector de monóxido de carbono,30.0,"Barcelona, Catalunya, España",0.0,0.0,1.0,1.0,3.0,1.0
