prices_per_night,ratings,num_reviews,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios,habitacion,alojamiento entero
115.0,0.0,0.0,0.0,1.0,1.0,1.0,3.4,900.0,720.0,9.0,1.0,5.0,2.0,2.0,6.0,7.0,1.0,2.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0
46.0,0.0,0.0,15.0,1.0,1.0,0.5,1.0,1020.0,660.0,7.0,1.0,6.0,1.0,0.0,10.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0
47.0,4.66,65.0,0.0,1.0,1.0,0.5,1.0,900.0,720.0,9.0,1.0,3.0,1.0,2.0,11.0,8.0,1.0,1.0,1.0,0.0,1.0,0.0,5.0,1.0,0.0
100.0,4.89,0.0,35.0,1.0,1.0,1.0,1.0,960.0,720.0,8.0,5.0,7.0,2.0,1.0,10.0,10.0,10.0,3.0,2.0,2.0,0.0,5.0,4.0,0.0,0.0
33.0,4.4,990.0,0.0,1.0,1.0,0.5,1.0,900.0,660.0,9.0,1.0,2.0,2.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0
35.0,4.63,40.0,0.0,1.0,1.0,0.5,1.0,900.0,660.0,9.0,0.0,3.0,2.0,0.0,7.0,2.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
31.0,0.0,0.0,45.0,1.0,1.0,0.5,1.0,900.0,720.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0
18.0,4.75,4.0,0.0,1.0,1.0,0.5,1.0,840.0,600.0,10.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0
115.0,5.0,4.0,70.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,0.0,4.0,2.0,0.0,2.0,4.0,1.0,0.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0
45.0,0.0,0.0,0.0,1.0,1.0,0.5,2.0,900.0,660.0,9.0,0.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
31.0,4.46,2782.0,0.0,1.0,1.0,0.5,1.0,840.0,660.0,10.0,4.0,4.0,2.0,1.0,11.0,10.0,5.0,3.0,3.0,6.0,0.0,4.0,5.0,1.0,0.0
125.0,0.0,0.0,0.0,1.0,3.9,1.0,2.0,900.0,660.0,9.0,0.0,6.0,2.0,0.0,14.0,7.0,1.0,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0
50.0,0.0,0.0,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,0.0,4.0,2.0,0.0,5.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
57.0,0.0,0.0,20.0,1.0,1.0,0.5,2.0,1020.0,660.0,7.0,1.0,6.0,2.0,0.0,10.0,6.0,0.0,0.0,2.0,0.0,2.0,0.0,1.0,1.0,0.0
52.0,5.0,3.0,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
60.0,0.0,0.0,0.0,1.0,2.0,0.5,2.0,900.0,612.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0
91.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,840.0,600.0,10.0,0.0,5.0,0.0,0.0,7.0,2.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0
96.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0
49.0,4.65,23.0,0.0,1.0,1.0,0.5,1.0,900.0,720.0,9.0,1.0,3.0,1.0,1.0,10.0,7.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,1.0,0.0
33.0,5.0,4.0,0.0,1.0,1.0,0.5,2.0,900.0,660.0,9.0,0.0,4.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0
18.0,4.34,296.0,0.0,1.0,1.0,0.5,1.0,900.0,660.0,9.0,1.0,2.0,2.0,0.0,3.0,4.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0
46.0,0.0,0.0,35.0,1.0,1.0,0.5,1.0,900.0,540.0,9.0,0.0,3.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0
147.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,900.0,720.0,9.0,0.0,5.0,2.0,0.0,13.0,6.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
46.0,0.0,0.0,10.0,1.0,1.0,0.5,2.0,600.0,720.0,14.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0
42.0,4.13,8.0,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
47.0,3.17,6.0,0.0,1.0,1.0,0.5,2.0,900.0,600.0,9.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0
16.0,3.79,28.0,0.0,1.0,4.0,0.5,1.0,900.0,600.0,9.0,0.0,1.0,2.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,1.0,0.0
23.0,4.33,9.0,5.0,3.0,2.0,0.5,2.0,720.0,600.0,12.0,1.0,3.0,1.0,1.0,3.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
