urls,timestamp,record_id,Titles,Host_name,Property_types,Prices_per_night,Check_ins,Check_outs,Location,Ratings,Num_reviews,Cleaning_fee,Com_fee,Camas,Baños,Maximum_guests,Viajeros,Dormitorios,Otros
https://www.airbnb.es/rooms/1123156827645522473?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1894631759&search_mode=regular_search&check_in=2024-11-05&check_out=2024-11-10&source_impression_id=p3_1730837189_P3OE3lmWPuzFKyll&previous_page_section_name=1000&federated_search_id=a70f0684-6bfc-430c-b5d8-88dac71f85c6,2024-11-05 21:31:53,1123156827645522473,"Esta acogedora habitación  cuenta con una cómoda cama doble y se encuentra a tan solo tres minutos de la playa la Barceloneta . La ubicación es ideal, ya que tendrás a tu disposición una gran variedad de servicios como supermercados, farmacias, restaurantes y bares. Además, el transporte público es fácilmente accesible, con la estación de metro L4 a solo seis minutos de distancia y paradas de autobús cercanas.Se proporciona toallas , ropas de cama y wifiEl espacioTe ofrezco una habitación  en un apartamento dúplex, donde alquilo dos habitaciones mas a través de Airbnb. Este es un lugar limpio y acogedor, donde me preocupo por garantizar que mis huéspedes se sientan cómodos durante su estancia. Aunque no es un lugar lujoso , moderno o elegante, siempre me esfuerzo por hacer que todos se sientan como en casa.Es importante tener en cuenta que los espacios comunes, como la cocina y el baño, se comparten con otros huéspedes y conmigo. Respeto la privacidad de mis huéspedes y me aseguro de que puedan disfrutar de su tiempo en el apartamento sin inconvenientes.Aunque el apartamento no cuenta con aire acondicionado, cada habitación está equipada con ventiladores portátiles para los meses de verano. Además, en invierno proporciono calentadores para garantizar la comodidad durante los meses más fríos.Servicios y zonas comunesCompartirás la cocina y el baño con otros dos huéspedes y conmigo. Es importante que te sientas cómodo(a) y disfrutes de este tipo de alojamientos donde se comparten los espacios con otros viajeros.En cuanto a la limpieza, me esfuerzo por mantener las zonas comunes impecables y agradables para todos los huéspedes. Se realiza la limpieza diaria de estas áreas para asegurar un ambiente higiénico y confortable. Sin embargo, durante las horas nocturnas puede resultar un poco desafiante mantener las áreas comunes limpias debido al uso continuo por parte de los huéspedes. Por esta razón, solicito amablemente la colaboración de los huéspedes para dejar las zonas comunes limpias y ordenadas después de su uso.Durante tu estanciaVivo en el apartamento así que estaré encantado de ayudarte y colaborarte en lo que necesites , puedes comunicarte conmigo a través de la aplicación de AirbnbOtros aspectos destacablesQuiero informarte que en este apartamento convivo con mis dos mascotas, Duddy, un cachorro, y Manolín, un gato. Es importante que te gusten los animales, ya que ellos forman parte de mi hogar. Ellos viven conmigo en el primer piso y no tendrán acceso a tu espacio privado.Duddy es un cachorro amigable y juguetón, mientras que Manolín es un gato tranquilo y reservado. Ambos están acostumbrados a la convivencia con otros huéspedes y se comportan de manera respetuosa. Si tienes alergias o algún tipo de temor hacia los animales, este alojamiento no sería el adecuado para ti Estoy comprometido en mantener un ambiente seguro y confortable para todos los huéspedes, incluyendo a mis mascotas. Si tienes alguna pregunta adicional o necesitas más información sobre la convivencia con Duddy y Manolín, no dudes en hacérmelo saber. Estoy aquí para ayudarte y asegurarme de que tengas una experiencia agradable en tu estadía.¡Espero poder recibirte pronto y compartir este espacio contigo y mis adorables mascotas!Número de registroExempt",Quédate con Manuel,"Habitación en Barcelona, España",45 €,Llegada a partir de las 15:00,Salida antes de las 12:00,"Barcelona, Catalunya, España","4,64",22,0,0,1 cama de matrimonio,Baño compartido,,,,
https://www.airbnb.es/rooms/1270266469340006214?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2015148890&search_mode=regular_search&check_in=2024-11-25&check_out=2024-11-30&source_impression_id=p3_1730837189_P3mdntJiJLuRuGMB&previous_page_section_name=1000&federated_search_id=a70f0684-6bfc-430c-b5d8-88dac71f85c6,2024-11-05 21:31:53,1270266469340006214,"Cancelación gratuita antes del 24 nov. Si cancelas antes de la fecha de llegada (25 nov.), recibirás un reembolso parcial.",Anfitrión: Joar,"Habitación en Barcelona, España",46 €,Llegada a partir de las 10:00,Salida antes de las 12:00,"Barcelona, Catalunya, España",Nuevo,,10 €,41 €,1 cama,Baño compartido,2,,,
https://www.airbnb.es/rooms/1176611230178132461?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730837189_P3Ag2oBymEYew_-s&previous_page_section_name=1000&federated_search_id=a70f0684-6bfc-430c-b5d8-88dac71f85c6,2024-11-05 21:31:53,1176611230178132461,Desconecta de la rutina en este alojamiento único y relajante.Número de registroHUTB-007416,Anfitrión: Badajoz,"Alojamiento entero: apartamento en Barcelona, España",100 €,Llegada a partir de las 15:00,Salida antes de las 11:00,"Barcelona, Catalunya, España",Nuevo,,60 €,96 €,6 camas,2 baños,6,6 viajeros,3 dormitorios,
https://www.airbnb.es/rooms/1147692746401940575?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1897406461&search_mode=regular_search&check_in=2024-11-09&check_out=2024-11-14&source_impression_id=p3_1730837189_P3lb6kmoGRe_K1zD&previous_page_section_name=1000&federated_search_id=a70f0684-6bfc-430c-b5d8-88dac71f85c6,2024-11-05 21:31:53,1147692746401940575,"Acogedora habitación individual en el bullicioso corazón de Barcelona. Tiene una cama cómoda y un pequeño espacio de trabajo. A pocos pasos de lugares emblemáticos y una animada vida nocturna. Perfecto para exploradores urbanos. ¡Disfruta de Barcelona a poca distancia a pie de La Rambla, la Plaza Mayor, el famoso mercado La Boquería, la emblemática Plaza Catalunya y el Passeig de Gracia de Gaudí y mucho más!Servicios y zonas comunesEl apartamento cuenta con baño compartido y cocina totalmente equipadaNúmero de registroExempt",Anfitrión: Victoria Isabel,"Habitación en Barcelona, España",44 €,Horario de llegada: de 15:00 a 21:00,Salida antes de las 9:00,,Sin evaluaciones,,35 €,44 €,1 cama,Baño compartido,1,,,
https://www.airbnb.es/rooms/936143488605005872?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1971990955&search_mode=regular_search&check_in=2024-11-11&check_out=2024-11-16&source_impression_id=p3_1730837189_P3YcjeYKLzkK8-Dd&previous_page_section_name=1000&federated_search_id=a70f0684-6bfc-430c-b5d8-88dac71f85c6,2024-11-05 21:31:53,936143488605005872,"Este alojamiento tiene una ubicación estratégica: ¡será muy fácil planear tu visita!El check-in es de 15:00 a 22:00. En las llegadas después de las 22:00 horas se cobrarán 20 euros adicionales, ya que implica alterar el funcionamiento normal del apartamento. Ten en cuenta cuando reserves, por favor,Por favor, si tu vuelo llega después de las 22:00 h, antes de hacer su reserva, pregúntame o pregúntame si yo, como la anfitriona, puedo esperar por ti graciasOtros aspectos destacablesConfirma tu hora de llegada el día que hagas la reserva o un día antes de tu llegada, lo que evita modificar el normal funcionamiento del alojamiento.  GraciasRecuerda que este alojamiento no es apto para alojarse con menores de edad.Número de registroExempt",Quédate con Cat Y Jhosep,"Habitación en Barcelona, España",33 €,Horario de llegada: de 15:00 a 22:00,Salida antes de las 11:00,"Barcelona, Catalunya, España","4,22",9,0,28 €,1 cama individual,Baño compartido,1,,,
https://www.airbnb.es/rooms/14006090?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-01&check_out=2024-12-06&source_impression_id=p3_1730837189_P3iSfVk2yBM3L7kB&previous_page_section_name=1000&federated_search_id=a70f0684-6bfc-430c-b5d8-88dac71f85c6,2024-11-05 21:31:53,14006090,"Amplio y moderno estudio totalmente equipado,  con 3 camas.Pequeño espacio de cocina equipada con pequeña nevera, microondas, cafetera y tetera. Cuarto de baño con plato de ducha. Todas las instalaciones son nuevas.Edificio con ascensor.  Bonita terraza en la última planta de uso comunitario.Internet WiFi por fibra ópticaEl espacioAmplio y moderno estudio totalmente equipado,  con 3 camas.Pequeño espacio de cocina equipada con vitroceramica, pequeña nevera, microondas, cafetera y tetera.Cuarto de baño con plato de ducha. Todas las instalaciones son nuevas.Climatización central, aire acondicionado. Edificio con ascensor. Bonita terraza en la última planta.HB-004584Otros aspectos destacablesTASA TURÍSTICA: de acuerdo con la ley del gobierno de Catalunya, desde el 1 de Abril todos los huéspedes de 14 años en adelante, tienen que pagar a los alojamientos turísticos el importe de 5,50€ por persona y por noche en concepto de tasa turística.Número de registroHB-004584",Anfitrión: Anna,"Habitación en apartamento con servicios en Barcelona, España",101 €,Llegada a partir de las 14:00,Salida antes de las 11:00,"Carrer d'En Fontrodona, 15, 08004 Barcelona, Spain","4,55",694,0,0,3 camas,1 baño privado,3,3 viajeros,1 dormitorio,
https://www.airbnb.es/rooms/31977850?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-06&check_out=2024-11-11&source_impression_id=p3_1730837189_P3LAfq8-LREWasZ2&previous_page_section_name=1000&federated_search_id=a70f0684-6bfc-430c-b5d8-88dac71f85c6,2024-11-05 21:31:53,31977850,"¡Hay una razón por la que hemos sido votados como «Hostel más populares de Barcelona» por Hostelworld! Relájate en nuestros patios al aire libre o en la sala común recién reformada, haz un recorrido a pie por el albergue o únete a nuestros épicos recorridos de bares de hostales, aprende a cocinar paella o mezcla mojitos como un profesional. ¡Tenemos algo para todos!Con nuestro famoso bar Belushi 's ubicado justo debajo de los huéspedes, puede  aprovechar al máximo las exclusivas ofertas diarias de bebidas, Happy Hours y un 25% de descuento en nuestro impresionante menú. Organizamos DJ en vivo, deportes en vivo y fiestas épicas.El espacioDisfruta de esta espaciosa habitación con literas estándar situada en nuestro galardonado hostal de Barcelona, en el extremo superior de las famosas Ramblas de Las Ramblas. Completo con aire acondicionado, ropa de cama fresca, enchufes, luces de lectura y taquillas debajo de tus camas para guardar tus pertenencias mundanas, este es el lugar perfecto para aprovechar al máximo el animado ambiente de la ciudad junto con las playas de arena del Mediterráneo. Para colmo, ¡te espera una sangría de bienvenida gratuita a tu llegada al animado bar Belushi 's de nuestro hostal! Aquí puede disfrutar de exclusivas ofertas diarias de bebidas, Happy Hours y sabrosos aperitivos de comida y bar para los huéspedes del albergue. Organizamos DJ en directo, fiestas, un gran menú y deportes en directo hasta altas horas de la madrugada. ¡Y qué mejor manera de curar esa resaca que un desayuno continental por solo 7 € al día de 8:00 A. M. a 10:00a. m. seguido de un recorrido GRATUITO a pie por la ciudad! El desayuno y todos los tours, recorridos por pubs y recorridos GRATUITOS a pie por la ciudad se pueden reservar con nuestro increíble equipo de recepción.Servicios y zonas comunesLas instalaciones compartidas disponibles para nuestros huéspedes incluyen nuestro famoso bar de fiestas en el hostal Belushi 's, donde los huéspedes reciben descuentos en hamburguesas y happy hours diarias en la planta baja.  Hay wifi gratuito en todo el hostal y todas las habitaciones están equipadas con aire acondicionado. En el primer piso se puede encontrar una sala chill-out equipada con nevera, microondas, hervidor de agua, TV, sofás, juegos, libros y una lavandería. Por solo 7 € al día, ofrecemos un desayuno continental todos los días de 8:00 a. m. a 10:00 a. m. ¡Incluso tenemos una recepción de 24 horas!Otros aspectos destacables* Impuesto municipal de Barcelona: a partir del 1 de octubre de 2024, el importe del impuesto es de 5,50 € por persona y noche y se cobrará en el momento del registro junto con el depósito de llaves de € 2.Número de registroAJ-000539",Anfitrión: St Christophers Barcelona,"Habitación en Barcelona, España",33 €,Llegada a partir de las 15:00,Salida antes de las 11:00,"Barcelona, España","4,4",989,0,0,1 cama individual,Baño compartido,1,,,
https://www.airbnb.es/rooms/1221751561372481946?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1973735631&search_mode=regular_search&check_in=2024-11-05&check_out=2024-11-10&source_impression_id=p3_1730837189_P3BbXSdjeUCVy98O&previous_page_section_name=1000&federated_search_id=a70f0684-6bfc-430c-b5d8-88dac71f85c6,2024-11-05 21:31:53,1221751561372481946,Relájate y desconecta en este alojamiento tranquilo y elegante.Número de registroExempt,Quédate con Mario,"Habitación en Barcelona, España",30 €,Horario de llegada: de 14:00 a 18:00,Salida antes de las 11:00,"Barcelona, Catalunya, España","4,61",23,0,26 €,1 cama,Baño compartido,1,,,
https://www.airbnb.es/rooms/1277486454471917370?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-26&check_out=2024-12-01&source_impression_id=p3_1730837189_P3P_9TF352GJB1aQ&previous_page_section_name=1000&federated_search_id=a70f0684-6bfc-430c-b5d8-88dac71f85c6,2024-11-05 21:31:53,1277486454471917370,"A solo 300 metros del Monumento a Colombo y de la famosa Rambla, a un minuto a pie del puerto y a 15 minutos a pie de la playa de la Barceloneta o la Plaza Catalunya.Muchos bares, restaurantes y supermercados del metro Drassanes están a 300 metros y muchos autobuses públicos a pocos minutos a pie.Si quieres disfrutar de una experiencia muy céntrica en Barcelona, ¡estás en casa!Número de registroExempt",Anfitrión: Marcelo,"Alojamiento entero: apartamento en Barcelona, España",95 €,Horario de llegada: de 15:00 a 21:00,Salida antes de las 11:00,"Barcelona, Catalunya, España",Nuevo,,50 €,90 €,2 camas,1 baño,3,3 viajeros,1 dormitorio,
https://www.airbnb.es/rooms/1279040855576324107?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2020968030&search_mode=regular_search&check_in=2024-11-05&check_out=2024-11-10&source_impression_id=p3_1730837189_P33k5C1PRgR1FMh_&previous_page_section_name=1000&federated_search_id=a70f0684-6bfc-430c-b5d8-88dac71f85c6,2024-11-05 21:31:53,1279040855576324107,Este anfitrión tiene 978 evaluaciones de otros alojamientos. Échales un vistazo,Anfitrión: David,"Habitación en Barcelona, España",46 €,Horario de llegada: de 17:00 a 2:00,Salida antes de las 11:00,"Barcelona, Catalunya, España",Nuevo,,15 €,42 €,1 cama,Baño compartido,1,,,
