property_types,prices_per_night,ratings,num_reviews,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,aparcamiento e instalaciones,baño,calefacción y refrigeración,características de la ubicación,cocina y comedor,dormitorio y lavandería,entretenimiento,exterior,internet y oficina,para familias,privacidad y seguridad,seguridad en el hogar,servicios
Alojamiento entero,115.0,0.0,0.0,0.0,1.0,1.0,1.0,,900.0,720.0,9.0,1,5,2,2,6,7,1,2,1,0,0,1,4
Habitación,46.0,0.0,0.0,15.0,,1.0,0.5,1.0,1020.0,660.0,7.0,1,6,1,0,10,6,0,0,2,0,2,0,1
Habitación,47.0,4.66,65.0,0.0,,1.0,0.5,1.0,900.0,720.0,9.0,1,3,1,2,11,8,1,1,1,0,1,0,5
Alojamiento entero,100.0,4.89,0.0,35.0,1.0,1.0,1.0,1.0,960.0,720.0,8.0,5,7,2,1,10,10,10,3,2,2,0,5,4
Habitación,33.0,4.4,990.0,0.0,,1.0,0.5,1.0,900.0,660.0,9.0,1,2,2,0,3,4,0,1,1,0,0,3,1
Habitación,35.0,4.63,40.0,0.0,,1.0,0.5,1.0,900.0,660.0,9.0,0,3,2,0,7,2,0,0,2,0,1,0,0
Habitación,31.0,0.0,0.0,45.0,,1.0,0.5,1.0,900.0,720.0,9.0,0,0,0,0,1,1,0,0,1,0,1,0,0
Habitación,18.0,4.75,4.0,0.0,,,0.5,1.0,840.0,600.0,10.0,0,1,1,0,0,3,0,0,1,0,0,2,0
Alojamiento entero,115.0,5.0,4.0,70.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,0,4,2,0,2,4,1,0,2,0,0,1,3
Habitación,45.0,0.0,0.0,0.0,,1.0,0.5,2.0,900.0,660.0,9.0,0,1,0,0,5,0,0,0,1,0,3,0,0
Habitación,31.0,4.46,2782.0,0.0,,1.0,0.5,1.0,840.0,660.0,10.0,4,4,2,1,11,10,5,3,3,6,0,4,5
Alojamiento entero,125.0,0.0,0.0,0.0,1.0,,1.0,2.0,900.0,660.0,9.0,0,6,2,0,14,7,1,1,2,0,0,3,1
Habitación,50.0,0.0,0.0,0.0,,1.0,0.5,2.0,900.0,600.0,9.0,0,4,2,0,5,2,0,0,1,0,3,0,0
Habitación,57.0,0.0,0.0,20.0,,1.0,0.5,2.0,1020.0,660.0,7.0,1,6,2,0,10,6,0,0,2,0,2,0,1
Habitación,52.0,5.0,3.0,0.0,,1.0,0.5,2.0,900.0,600.0,9.0,0,0,0,0,1,1,0,0,1,0,3,0,0
Habitación,60.0,0.0,0.0,0.0,,2.0,0.5,2.0,900.0,,9.0,0,0,1,0,1,0,0,0,1,0,2,0,0
Alojamiento entero,91.0,0.0,0.0,0.0,2.0,3.0,1.0,4.0,840.0,600.0,10.0,0,5,0,0,7,2,1,0,1,0,0,1,1
Alojamiento entero,96.0,0.0,2.0,0.0,1.0,1.0,1.0,2.0,900.0,660.0,9.0,0,0,1,0,1,0,1,0,2,0,0,1,0
Habitación,49.0,4.65,23.0,0.0,,1.0,0.5,1.0,900.0,720.0,9.0,1,3,1,1,10,7,1,0,1,0,1,0,4
Habitación,33.0,5.0,4.0,0.0,,1.0,0.5,2.0,900.0,660.0,9.0,0,4,2,0,1,3,0,0,1,0,1,2,0
Habitación,18.0,4.34,296.0,0.0,,1.0,0.5,1.0,900.0,660.0,9.0,1,2,2,0,3,4,0,1,1,0,0,3,1
Habitación,46.0,0.0,0.0,35.0,,1.0,0.5,1.0,900.0,540.0,9.0,0,3,0,0,9,0,0,0,1,0,1,0,1
Alojamiento entero,147.0,0.0,0.0,0.0,2.0,2.0,1.0,4.0,900.0,720.0,9.0,0,5,2,0,13,6,1,1,2,0,0,0,1
Habitación,46.0,0.0,0.0,10.0,,1.0,0.5,2.0,600.0,720.0,14.0,0,0,1,0,1,1,0,0,1,0,2,0,0
Habitación,42.0,4.13,8.0,0.0,,1.0,0.5,2.0,900.0,600.0,9.0,0,0,0,0,1,1,0,0,1,0,3,0,0
Habitación,47.0,3.17,6.0,0.0,,1.0,0.5,2.0,900.0,600.0,9.0,0,0,0,0,1,1,0,0,1,0,3,0,0
Habitación,16.0,3.79,28.0,0.0,,4.0,0.5,1.0,900.0,600.0,9.0,0,1,2,0,1,1,0,0,1,0,0,4,2
Habitación,23.0,4.33,9.0,5.0,3.0,2.0,0.5,2.0,720.0,600.0,12.0,1,3,1,1,3,1,0,1,1,1,1,0,0
Habitación,22.0,4.1,214.0,0.0,,1.0,0.5,2.0,900.0,600.0,9.0,1,1,2,0,1,4,1,0,1,0,0,4,0
Alojamiento entero,122.0,5.0,3.0,40.0,1.0,2.0,1.0,3.0,960.0,720.0,8.0,0,2,1,0,5,0,1,1,2,0,0,1,1
Habitación,23.0,4.54,357.0,0.0,,12.0,0.5,1.0,900.0,660.0,9.0,2,1,2,0,8,4,0,4,2,0,0,3,1
