urls,timestamp,record_id,titles,host_name,property_types,prices_per_night,location,ratings,num_reviews,cleaning_fee,baños,maximum_guests,dormitorios,camas,check_in_hour,check_out_hour,total_hours_checkin
https://www.airbnb.es/rooms/1252849636674011237?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730967140_P3npDOuPhfoFPDyv&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1252849636674011237,"Reserva una (o más) camas en este dormitorio compartido de 8 camas, con cuatro literas y un baño privado. cada litera está equipada con una luz personal, un estante y un casillero debajo de la cama. la habitación tiene aire acondicionado, lo que garantiza una estancia cómoda, con almohadas, edredones y sábanas. se pueden alquilar toallas en recepción. este dormitorio es exclusivo para huéspedes mayores de 18 años y ofrece una experiencia sociable y económica.el espaciogenerator barcelona es un hostal de diseño situado en el corazón de la ciudad, a pocos pasos del famoso passeig de gràcia y de la sagrada familia. con una mezcla de habitaciones privadas y dormitorios compartidos, generator es perfecto para personas que viajan solas, parejas y grupos. el hostal cuenta con recepción 24 horas, wifi gratuito, bar, cafetería y espacios sociales. con su ambiente vibrante y su ubicación privilegiada, generator barcelona es un punto de partida ideal para explorar la cultura y el encanto de la ciudad.servicios y zonas comunesnos enorgullecemos de garantizar que los huéspedes puedan relajarse en un entorno fresco y cómodo. la decoración de cada una de nuestras habitaciones siempre es fácil de ver; están totalmente equipadas con todos los toques modernos que esperarías también. reserva habitaciones privadas con terrazas que ofrecen bonitas vistas panorámicas de este lugar único. alternativamente, para una escapada verdaderamente memorable, hay una suite privada en el ático. también ofrecemos dormitorios pequeños, grandes y solo para mujeres para amigos o viajeros solitarios. y por supuesto, tendrás acceso a todas nuestras facilidades, incluyendo wifi gratuito, salas de reuniones, espacios chill-out y mucho más.otros aspectos destacablesnos enorgullecemos de garantizar que los huéspedes puedan relajarse en un entorno fresco y cómodo. la decoración de cada una de nuestras habitaciones siempre es fácil de ver; están totalmente equipadas con todos los toques modernos que esperarías también. reserva habitaciones privadas con terrazas que ofrecen bonitas vistas panorámicas de este lugar único. alternativamente, para una escapada verdaderamente memorable, hay una suite privada en el ático. también ofrecemos dormitorios pequeños, grandes y solo para mujeres para amigos o viajeros solitarios. y por supuesto, tendrás acceso a todas nuestras facilidades, incluyendo wifi gratuito, salas de reuniones, espacios chill-out y mucho más.habitaciones privadas: están disponibles con baño privado. todas las literas tienen una pantalla de privacidad. todas las habitaciones incluyen: tomas de corriente, luz led, ropa de cama y ropa de cama, almacenamiento con cerradura, espejos de cuerpo entero, mesa y silla, unidad colgante para ropa, dispensadores de gel de baño, solo habitaciones individuales.dormitorios: todas las literas tienen una pantalla de privacidad y cada habitación tiene baños privados con duchas y aseos. todas las habitaciones incluyen: tomas de corriente, luz led, ropa de cama y ropa de cama, almacenamiento con cerradura, espejos de cuerpo entero, mesa y silla, unidad colgante de ropa.número de registrohb-004525",Generator,Habitación,19.0,,4.75,4.0,0.0,,,,,14:00,10:00,10.0
https://www.airbnb.es/rooms/1282445860434820248?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730967140_P3oNpNTqWp1kw7Pw&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1282445860434820248,"Te damos la bienvenida a este elegante apartamento en el corazón del raval, perfecto para un máximo de 4 huéspedes. disfruta del animado ambiente de esta zona peatonal, llena de arte callejero, bares animados y deliciosa comida callejera. a pocos pasos de atracciones emblemáticas como macba, palau güell, la boqueria market, carrer dels tallers y sant pau del camp. este animado barrio es conocido por sus diversas comunidades y sus bulliciosas calles, así que prepárate para el ruido día y noche mientras la gente disfruta de la vibrante cultura local.el espacioes un apartamento en un nivel inferior en el edificio , no hay ascensores , hay que subir unos escalones. hay 2 habitaciones , una vez con una cama doble. y una habitación con 2 camas individuales.número de registroexempt",HostPro,Alojamiento entero,110.0,"Barcelona, Catalunya, España",0.0,0.0,60.0,1.0,,2.0,3.0,15:00,11:00,9.0
https://www.airbnb.es/rooms/1280288199246468615?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2021993060&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730967139_P3O3PrisnOFhdUai&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1280288199246468615,"Excelente y acogedor apartamento a solo '2 caminando del mar y del hotel w, en una zona muy tranquila y segura rodeada de buenos restaurantes. ideal para turistas que buscan una buena ubicación. a su vez, el apartamento es tranquilo y silencioso, se puede descansar y tener todos los servicios necesarios.número de registroexempt",Lautaro Gaspar,Habitación,32.0,"Barcelona, Catalunya, España",0.0,0.0,0.0,,,,1.0,16:00,11:00,8.0
https://www.airbnb.es/rooms/850684095339937556?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2025-01-06&check_out=2025-01-11&source_impression_id=p3_1730967139_P3DKQssNDOSfKesu&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,850684095339937556,"Desconecta de la rutina en este alojamiento a 30 segundos de la arena blanca de la playa. alrededor encontrarás muchos restaurantes y cafeterías autenticas y de moda. el mercado fresco esta a dos pasos si te apetece cocinar y comer sano. el alojamiento recién reformado ofrece todas las comodidades para sentirte como en casa. estaremos encantados de recibirte y ofrecerte una excelente estancia junto al mar de barcelona, una opción al alcance de pocos. bienvenidos :)el espacioel apartamento ofrece una habitación doble muy amplia con armario, escritorio para trabajar y un televisor. la sala principal se encuentra la zona de cocina y la zona confort. la cocina tiene todo lo necesario para cocinar lo que uno desee. el aire acondicionado y calefacción cubren todo el apartamento y además cuenta con radiadores portátiles si fueran necesarios en las noches inusualmente frías de invierno. todo es de buena calidad pues nuestros huéspedes no merecen menos. el baño cuanta con una amplia ducha, ideal para después de bañarse en la playa :)servicios y zonas comuneslos huéspedes tienen acceso total a todo el alojamiento. no hay nada compartido :)número de registroexempt",Marta+Paul,Alojamiento entero,80.0,,5.0,5.0,90.0,1.0,,1.0,1.0,15:00,11:00,9.0
https://www.airbnb.es/rooms/1279040855576324107?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2020968030&search_mode=regular_search&check_in=2024-11-07&check_out=2024-11-12&source_impression_id=p3_1730967140_P3ZQo0gMVRmutRnE&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1279040855576324107,Este anfitrión tiene 979 evaluaciones de otros alojamientos. échales un vistazo,David,Habitación,46.0,"Barcelona, Catalunya, España",0.0,0.0,15.0,,1.0,,1.0,17:00,11:00,7.0
https://www.airbnb.es/rooms/1176611230178132461?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730967139_P3kqyX1EcbsISAQV&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1176611230178132461,Desconecta de la rutina en este alojamiento único y relajante.número de registrohutb-007416,Badajoz,Alojamiento entero,80.0,"Barcelona, Catalunya, España",0.0,0.0,60.0,2.0,,3.0,6.0,15:00,11:00,9.0
https://www.airbnb.es/rooms/1261633930877081601?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730967139_P3DesztyZXYxkJ-T&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1261633930877081601,"Este lugar especial está cerca de todo y es ideal para planificar tu visita.espacio para una persona sola. la ubicación es increíble para conocer la ciudad y los lugares de interés! compartirás las zonas comunes con el anfitrión y otros huéspedes!servicios y zonas comuneslas gallinas tendrán espacios comunes compartidos: cocina, baño, sala y comedor.otros aspectos destacablestengo un perrito, así que también es importante aceptarlo. no tiene interacción directa con los huéspedes, pero estará en la casa 😄número de registrohutb-123245",Maria,Habitación,41.0,"Barcelona, Catalunya, España",0.0,0.0,15.0,1.0,,1.0,1.0,15:00,10:00,9.0
https://www.airbnb.es/rooms/1282610604126663096?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730967139_P3HDAhn3FkjGczCV&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1282610604126663096,"Barrio gótico y las ramblas(seguro/limpio) a poca distancia a pie de: las ramblas, el mercado de la boquería, la plaza cataluya, el edificio gaudí y el pasaporte de gracie, arco de thrium, acuario, 2 habitaciones privadas en apartamento entero, aire acondicionado/calefacción...junto a la plaza- perfecto para nómadas virtuales o personas que quieran trabajar desde casa y estar cerca de los atractivos de la ciudadel espaciohay: toallas de uso gratuito, ropa de cama y conexión wifi gratuitabarrio gótico y las ramblas(seguro/limpio) a poca distancia a pie de: las ramblas, mercado la boquería, plaza cataluya, edificio gaudí y paseig de gracie, arco de thrium, la playa de la barceloneta, acuario, 2 habitaciones privadas en apartamento entero, aire acondicionado/calentador.. al lado de: plaza pi, plaza sant josep y iglesia de santa maria, supermercados, todos los transportes públicos (aerobus, autobuses y estación de metro)descuentos semanales.servicios y zonas comunesapartamento privado completootros aspectos destacablesllegada entre las 15:00 y las 20 horasno se permite el check-in después de la 1:00 a. m.--20 eurs fee extra fee for late check-in after 20hrs.la salida se realizará antes de las 11:00 a. m.salida después de la hora establecida sin permiso/sin aurthorized... recargo de 30 € por cada hora después de las 11:00 horas.- necesitamos ver el nombre y el número de identificación o pasaporte de la persona que hace el registro de entrada.-- hay escaleras antes de recibir el ascensor/ascensor-- para la limpieza, el saneamiento, la higina y los gustos personales: sin aceite para cocinar, sin sal, sin pimienta(no proporciono estos artículos)- los huéspedes no registrados deben ser previa aprobación. se cobrará un cargo extra de 30 euros por cada huésped no registrado en la reserva. todas las personas en el apartamento deben estar en la reserva por favor.- esperamos que nos ayudes a limpiar lo que ensucies. esto incluye limpiar y guardar los platos y utensilios de cocina.- todos los daños a la propiedad deben ser reportados a nosotros.- se nos cobrarán 20 € por sábanas o toallas manchadas. las toallas se deben usar solo dentro del apartamento.- no se permiten bicicletas, scooters.- 60eurs un cargo adicional diario por cualquier mascota acompañante en el apartamento.- recoger lo que ensucies en zonas comunes es importante.- silenciar el tiempo después de las 11:00 p. m. o a las 23:00h (sin música ni ruidos fuertes) haciendo fiestas durante este tiempo, la reserva se cancelará y tendrás que salir de la habitación o el apartamento sin ningún reembolso.- en caso de perder las llaves, debe pagar 70 €.- no fumar dentro del cuarto o departamento (debe tener que pagar 70 € limpieza especial).- el apartamento y las habitaciones están en buen estado...(luces artículos, todos los muebles, electrodomésticos, cerraduras de puertas y llaves) y cumplen con todos los requisitos de orden y limpieza para una convivencia detallada en los anuncios y especificaciones de la normativa de airbnb.- para garantizar la total seguridad de las pertenencias de nuestros huéspedes, nos gusta mantener las puertas del apartamento cerradas con llave como medida de precaución. siendo barcelona una de las zonas más seguras de españa, queremos asegurarnos de que la estancia de cada huésped esté libre de problemas, y esto es solo una cosa pequeña y sencilla que podemos hacer para garantizarlo.número de registrohutb-123561",Cesar Ariel,Alojamiento entero,132.0,"Barcelona, Catalunya, España",0.0,0.0,40.0,1.0,,2.0,3.0,15:00,10:00,9.0
https://www.airbnb.es/rooms/1063774211344598755?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730967139_P3Fc6HFy64xz8AQj&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1063774211344598755,"Apartamento reformado, amueblado y equipado con aprox. 55m² en el barrio del raval de barcelona en un edificio de finales del siglo xix. en el corazón de la ciudad, muy céntrico, a solo 7 min. de las ramblas y a 11 min. de plaza catalunya. conectado con metro l1 y l4 y paradas de autobúsnúmero de registroexempt",Patrick,Alojamiento entero,80.0,"Barcelona, Catalunya, España",0.0,0.0,50.0,1.5,,3.0,3.0,15:00,11:00,9.0
https://www.airbnb.es/rooms/1053700313118006932?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-08&check_out=2024-11-13&source_impression_id=p3_1730967140_P3Vo3n1ms26BKGET&previous_page_section_name=1000&federated_search_id=2776cac8-7a06-465c-8244-950e3ec07e5e,2024-11-07 10:12:02,1053700313118006932,Disfruta del fácil acceso a todo desde este alojamiento perfectamente ubicado.número de registroexempt,Fer,Habitación,25.0,"Barcelona, Catalunya, España",0.0,0.0,10.0,1.0,,1.0,1.0,14:00,10:00,10.0
