urls,timestamp,record_id,titles,host_name,property_types,prices_per_night,location,ratings,num_reviews,cleaning_fee,dormitorios,camas,baños,maximum_guests,check_in_hour,check_out_hour,total_hours_checkin,sentiment
https://www.airbnb.es/rooms/1210295928648344258?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2019555333&search_mode=regular_search&check_in=2024-11-09&check_out=2024-11-14&source_impression_id=p3_1731019318_P35AC7pYmzBex26j&previous_page_section_name=1000&federated_search_id=9527b209-1c66-440f-a069-cbec0c75d20d,2024-11-07 23:54:16,1210295928648344258,La valoración media aparecerá después de 3 evaluaciones,Vero,Habitación,31.0,"Barcelona, Catalunya, España",0.0,0.0,45.0,1.0,1.0,0.5,1.0,15:00,12:00,9.0,Positivo
https://www.airbnb.es/rooms/1252849636674011237?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1731019318_P3myqQf4Skiofqq5&previous_page_section_name=1000&federated_search_id=9527b209-1c66-440f-a069-cbec0c75d20d,2024-11-07 23:54:16,1252849636674011237,"Reserva una (o más) camas en este dormitorio compartido de 8 camas, con cuatro literas y un baño privado. cada litera está equipada con una luz personal, un estante y un casillero debajo de la cama. la habitación tiene aire acondicionado, lo que garantiza una estancia cómoda, con almohadas, edredones y sábanas. se pueden alquilar toallas en recepción. este dormitorio es exclusivo para huéspedes mayores de 18 años y ofrece una experiencia sociable y económica.el espaciogenerator barcelona es un hostal de diseño situado en el corazón de la ciudad, a pocos pasos del famoso passeig de gràcia y de la sagrada familia. con una mezcla de habitaciones privadas y dormitorios compartidos, generator es perfecto para personas que viajan solas, parejas y grupos. el hostal cuenta con recepción 24 horas, wifi gratuito, bar, cafetería y espacios sociales. con su ambiente vibrante y su ubicación privilegiada, generator barcelona es un punto de partida ideal para explorar la cultura y el encanto de la ciudad.servicios y zonas comunesnos enorgullecemos de garantizar que los huéspedes puedan relajarse en un entorno fresco y cómodo. la decoración de cada una de nuestras habitaciones siempre es fácil de ver; están totalmente equipadas con todos los toques modernos que esperarías también. reserva habitaciones privadas con terrazas que ofrecen bonitas vistas panorámicas de este lugar único. alternativamente, para una escapada verdaderamente memorable, hay una suite privada en el ático. también ofrecemos dormitorios pequeños, grandes y solo para mujeres para amigos o viajeros solitarios. y por supuesto, tendrás acceso a todas nuestras facilidades, incluyendo wifi gratuito, salas de reuniones, espacios chill-out y mucho más.otros aspectos destacablesnos enorgullecemos de garantizar que los huéspedes puedan relajarse en un entorno fresco y cómodo. la decoración de cada una de nuestras habitaciones siempre es fácil de ver; están totalmente equipadas con todos los toques modernos que esperarías también. reserva habitaciones privadas con terrazas que ofrecen bonitas vistas panorámicas de este lugar único. alternativamente, para una escapada verdaderamente memorable, hay una suite privada en el ático. también ofrecemos dormitorios pequeños, grandes y solo para mujeres para amigos o viajeros solitarios. y por supuesto, tendrás acceso a todas nuestras facilidades, incluyendo wifi gratuito, salas de reuniones, espacios chill-out y mucho más.habitaciones privadas: están disponibles con baño privado. todas las literas tienen una pantalla de privacidad. todas las habitaciones incluyen: tomas de corriente, luz led, ropa de cama y ropa de cama, almacenamiento con cerradura, espejos de cuerpo entero, mesa y silla, unidad colgante para ropa, dispensadores de gel de baño, solo habitaciones individuales.dormitorios: todas las literas tienen una pantalla de privacidad y cada habitación tiene baños privados con duchas y aseos. todas las habitaciones incluyen: tomas de corriente, luz led, ropa de cama y ropa de cama, almacenamiento con cerradura, espejos de cuerpo entero, mesa y silla, unidad colgante de ropa.número de registrohb-004525",Generator,Habitación,18.0,,4.75,4.0,0.0,1.0,,0.5,1.0,14:00,10:00,10.0,Positivo
https://www.airbnb.es/rooms/1197637831227097242?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2025-01-04&check_out=2025-01-09&source_impression_id=p3_1731019318_P3eRI56uS7r4ndKb&previous_page_section_name=1000&federated_search_id=9527b209-1c66-440f-a069-cbec0c75d20d,2024-11-07 23:54:16,1197637831227097242,El espacioel apartamento está así formado:⭑servicios y zonas comuneslos huéspedes tendrán el entero apartamento a su completa disposición.otros aspectos destacables✓ aire acondicionado✓ internet✓ check-in/check-out autónomos✓ sábanas y toallas ✓ 1 minuto de la rambla✓ 7 minutos de la catedral✓ 10 minutos de plaça catalunya y passeig de gràcia✓ 15 minutos de playa de la barcelonetanúmero de registrohutb-001628,Raffaele,Alojamiento entero,115.0,"Barcelona, Catalunya, España",5.0,4.0,70.0,1.0,1.0,1.0,2.0,15:00,11:00,9.0,Positivo
https://www.airbnb.es/rooms/1243254147120959358?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2015735133&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1731019318_P3hVu-zBuGiU_eqJ&previous_page_section_name=1000&federated_search_id=9527b209-1c66-440f-a069-cbec0c75d20d,2024-11-07 23:54:16,1243254147120959358,Este alojamiento tiene una ubicación estratégica: será muy fácil planear tu visita!el espacioel apartamento está ubicado en el centro de barcelona.. en el corazón del raval ..es un apartamento compartido con dos huéspedes más..servicios y zonas comunesson compartidos con dos huéspedesotros aspectos destacablesel registro de entrada después de las 11:00 p. m. se cobrará 20 € adicionales cuando llegues.número de registroexempt,Valentina Sofia,Habitación,45.0,"Barcelona, Catalunya, España",0.0,0.0,0.0,1.0,1.0,0.5,2.0,15:00,11:00,9.0,Positivo
https://www.airbnb.es/rooms/1155809416104019462?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-22&check_out=2024-11-27&source_impression_id=p3_1731019318_P3u38jc2Lg2ACNmP&previous_page_section_name=1000&federated_search_id=9527b209-1c66-440f-a069-cbec0c75d20d,2024-11-07 23:54:16,1155809416104019462,"Apartamento en el centro de barcelona, cerca de las ramblas. apartamento recién renovado con gran terraza interior.número de registroexempt",Lorenzo And  Cristina,Alojamiento entero,125.0,,0.0,0.0,0.0,1.0,,1.0,2.0,15:00,11:00,9.0,Positivo
https://www.airbnb.es/rooms/1279034995385137358?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=2020960331&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1731019318_P3tEYIwBDtBhZlRu&previous_page_section_name=1000&federated_search_id=9527b209-1c66-440f-a069-cbec0c75d20d,2024-11-07 23:54:16,1279034995385137358,Este alojamiento tiene una ubicación estratégica: será muy fácil planear tu visita!número de registrohutb-739472,David,Habitación,57.0,"Barcelona, Catalunya, España",0.0,0.0,20.0,1.0,1.0,0.5,2.0,17:00,11:00,7.0,Positivo
https://www.airbnb.es/rooms/1251405079105833124?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1998310392&search_mode=regular_search&check_in=2024-11-18&check_out=2024-11-23&source_impression_id=p3_1731019318_P3Ub9RsNioZZ3Y9b&previous_page_section_name=1000&federated_search_id=9527b209-1c66-440f-a069-cbec0c75d20d,2024-11-07 23:54:16,1251405079105833124,"Pequeña habitación privada en apartamento compartido, centro de barcelona cerca de las ramblas.hay: toallas de uso gratuito, ropa de cama y conexión wifi gratuita. zonas comunes compartidas, cocina, baño.tenemos una señora de la limpieza todos los días para las áreas comunes.a poca distancia a pie de: plaza cataluya, las ramblas, mercado la boquería, edificio gaudí y paseig de gracie, arco de thrium, tiendas, restaurantes y centro de la ciudad attrations.el espacioel apartamento es compartido con los huéspedes de airbnb.estamos alquilando una habitación privada (las llaves de la cerradura de la puerta de tu propia habitación para ti. hay: toallas de uso gratuito, ropa de cama y conexión wifi gratuita, zonas comunes compartidas, cocina y baño.y tenemos una señora de la limpieza todos los días para las zonas comunesservicios y zonas comunescocina, bañootros aspectos destacablesentrada después de las 15:00 h/15:00 h a 20h-20 euros de recargo después de las 20 horas de llegada... tarifa de llegada después de la hora de llegada y se pagará a la hora de llegada.- no se permite el check-in después de las 1:30 horas/1:30 a. m.la salida es a las 11am..– salida después de la hora establecida sin permiso/sin aurthorized... 20eursrecargo por cada hora después de las 11: 00 horas.- el huésped registrado debe presentar el pasaporte o la identificación oficial en el momento de la llegada.--todas las personas en el apartamento; deben estar en la reserva. .... los huéspedes no registrados deben ser aprobados previamente....30 eurs de cargo diario extra por cada huésped no registrado en la reserva ..-- esperamos que nos ayudes a limpiar, esto incluye limpiar y dejar los platos y utensilios de cocina.-- para la limpieza, el saneamiento, la higina y los gustos personales: sin aceite para cocinar, sin sal, sin pimienta(no proporciono estos artículos)-- todos los huéspedes de la reserva deben ser mayores de 18 años.-todos los daños a la propiedad deben ser reportados inmediatamente ...--hay un cargo de 20eurs por incidente de sábanas manchadas, toallas, edredones y son únicamente para ser utilizados dentro del apartamento..- hora de silencio después de las 22:00 o 22:00 h en adelante, (sin música ni ruidos fuertes)...no se permiten fiestas ni eventos después de esta hora...la reserva se cancelará y tendrás que salir del apartamento inmediatamente sin ningún reembolso.--si se pierden llaves o tarjetas de entrada... tienes que pagar 70eurs; dependiendo de si se pierden llaves y/o tarjetas-- no se pueden usar drogas ni alcohol dentro de las habitaciones ni del apartamento.--se prohíbe fumar dentro de la habitación o apartamento..(si hay algún olor a tabaco se cobrará un cargo de limpieza especial de 70eurs..)--el apartamento y las habitaciones están en buen estado...(luces, muebles, electrodomésticos, puertas, cerraduras y llaves) y cumplen con todos los requisitos de orden y limpieza para una convivencia detallada en los anuncios y las especificaciones sobre la normativa de airbnb.--para garantizar la plena seguridad de las pertenencias de nuestros huéspedes, nos gusta mantener las puertas del apartamento cerradas como medida de precaución.confirmando la reserva aceptas todas las normas de la casa (si se incumplen estas normas, la reserva se cancelará inmediatamente y tendrás que salir del apartamento sin reembolso)......gracias y bienvenidos de nuevo a nuestro apartamentonúmero de registrohutb-102348",Marcos,Habitación,52.0,"Barcelona, Catalunya, España",5.0,3.0,0.0,1.0,1.0,0.5,2.0,15:00,10:00,9.0,Positivo
https://www.airbnb.es/rooms/1197658127949521687?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1731019318_P3jRk9clNyowpsZY&previous_page_section_name=1000&federated_search_id=9527b209-1c66-440f-a069-cbec0c75d20d,2024-11-07 23:54:16,1197658127949521687,Este anfitrión tiene 19 evaluaciones de otros alojamientos. échales un vistazo,Ashley,Alojamiento entero,91.0,"Barcelona, Catalunya, España",0.0,0.0,0.0,2.0,3.0,1.0,4.0,14:00,10:00,10.0,Positivo
https://www.airbnb.es/rooms/1192612229323894350?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-03&check_out=2024-12-08&source_impression_id=p3_1731019327_P3OPv4C93boQK41V&previous_page_section_name=1000&federated_search_id=0bc973bd-8cac-4e85-9a71-488f57d8ac16,2024-11-07 23:54:16,1192612229323894350,"Apartamento en pleno corazón de barcelona, a un minuto de la plaza cataluña y a un paso de las emblematicas ramblas.pasea por las romanticas calles del barrio gotico.haz base en este alojamiento y estarás a un paso de los lugares más interesantes y beneficiate de estar en el centro con las paradas de todo tipo de transportes públicos.número de registroexempt",Miguel Angel,Alojamiento entero,96.0,"Barcelona, Catalunya, España",0.0,2.0,0.0,1.0,1.0,1.0,2.0,15:00,11:00,9.0,Positivo
https://www.airbnb.es/rooms/1250095973933022993?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1997518703&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1731019327_P3tAgL8jcnvZ6jBS&previous_page_section_name=1000&federated_search_id=0bc973bd-8cac-4e85-9a71-488f57d8ac16,2024-11-07 23:54:16,1250095973933022993,"Centro de barcelona cerca de las ramblas, habitación privada para 2 personas en piso compartido. cerca de: plaza cataluya, las ramblas, mercado la boquería, edificio gaudí y paseig de gracie, arco de thrium, tiendas, restaurantes y centro de la ciudad attrations, todos los transportes públicos. hay: toallas de uso gratuito, ropa de cama y conexión wifi gratuita. compartir áreas comunes; , baño, cocina(está totalmente equipada pero no hay mesa para comer en los espacios comunes) tenemos una señora de la limpieza todos los días para las áreas comunesel espacioel apartamento es compartido con los huéspedes de airbnb.estamos alquilando una habitación privada (las llaves de la cerradura de la puerta de tu propia habitación para ti, hay: toallas de uso gratuito, ropa de cama y conexión wifi gratuita, compartiendo zonas comunes; baño, cocina (está totalmente equipada pero no hay mesa para comer en los espacios comunes) y tenemos una señora de la limpieza todos los días para las zonas comunesservicios y zonas comunesbaño y cocinaotros aspectos destacablesllegada entre las 15:00 y las 20 horasno se permite el check-in después de la 1:00 a. m. --20 eurs fee extra fee for late check-in after 20hrs.la salida se realizará antes de las 11:00 a. m. salida después de la hora establecida sin permiso/sin aurthorized... recargo de 30 € por cada hora después de las 11:00 horas. -- necesitamos ver el nombre y el número de identificación o pasaporte de la persona que realiza el check-in. - por motivos de seguridad, no se admiten niños menores de 18 años, toda esta información está en el anuncio de airbnb. -- para la limpieza, el saneamiento, la higina y los gustos personales: sin aceite para cocinar, sin sal, sin pimienta(no proporciono estos artículos)-- los huéspedes no registrados deben ser aprobados previamente...30 días con cargo extra por cada huésped -- esperamos que nos ayudes a limpiar lo que ensucies. esto incluye limpiar y guardar los platos y utensilios de cocina. tarifa de 60 euros con cargo adicional diario por cualquier mascota acompañante en el apartamento. -todos los daños a la propiedad deben ser reportados a nosotros... --nos se cobrarán 20 € por las sábanas o toallas manchadas. las toallas son para uso solo dentro del apartamento. -- recoger lo que ensucies en zonas comunes es importante.--quieto tiempo después de las 11pm o 23:00h, (sin música ni ruidos fuertes)...haciendo fiestas durante este tiempo...la reserva será cancelarla y hay que salir de la habitación o apartamento sin ningún reembolso.--en caso de perder las llaves ... tienes que pagar 120 € - no se pueden utilizar drogas ni alcohol dentro de las habitaciones ni del apartamento. - no se permite fumar dentro de la habitación o apartamento (debes pagar 500 €.. limpieza especial)--el apartamento y las habitaciones están en buen estado...(luces, todos los muebles, electrodomésticos, cerraduras y llaves de las puertas) y cumplen con todos los requisitos de orden y limpieza para una convivencia detallada en los anuncios y especificaciones de la normativa de airbnb. --para garantizar la plena seguridad de las pertenencias de nuestros huéspedes, nos gusta mantener las puertas del apartamento cerradas como medida de precaución. siendo barcelona una de las zonas más seguras de españa, queremos asegurarnos de que la estancia de cada huésped esté libre de problemas, y esto es solo una cosa pequeña y sencilla que podemos hacer para garantizarlo. confirmando la reserva aceptas todas las reglas de la casa (incumplir las reglas, la reserva se cancelará y tienes que salir de la habitación o apartamento sin ningún reembolso)......graciasnúmero de registrohutb-102346",Marcos,Habitación,33.0,"Barcelona, Catalunya, España",5.0,4.0,0.0,1.0,1.0,0.5,2.0,15:00,11:00,9.0,Positivo
