urls,Titles,Host_name,Property_types,Prices_per_night,Check_ins,Check_outs,Cleaning_fees,Location,Ratings,Num_reviews,Otros,Baños,Maximum_guests,Viajeros,Dormitorios,Camas
https://www.airbnb.es/rooms/1252849636674011237?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-01&check_out=2024-11-06&source_impression_id=p3_1730226993_P3R_m4Jo_CwraWKj&previous_page_section_name=1000&federated_search_id=7e323748-0e54-4d8b-ae9d-0f945a9ccc9e?adults=1,"Reserva una (o más) camas en este dormitorio compartido de 8 camas, con cuatro literas y un baño privado. Cada litera está equipada con una luz personal, un estante y un casillero debajo de la cama. La habitación tiene aire acondicionado, lo que garantiza una estancia cómoda, con almohadas, edredones y sábanas. Se pueden alquilar toallas en recepción. Este dormitorio es exclusivo para huéspedes mayores de 18 años y ofrece una experiencia sociable y económica.El espacioGenerator Barcelona es un hostal de diseño situado en el corazón de la ciudad, a pocos pasos del famoso Passeig de Gràcia y de la Sagrada Familia. Con una mezcla de habitaciones privadas y dormitorios compartidos, Generator es perfecto para personas que viajan solas, parejas y grupos. El hostal cuenta con recepción 24 horas, wifi gratuito, bar, cafetería y espacios sociales. Con su ambiente vibrante y su ubicación privilegiada, Generator Barcelona es un punto de partida ideal para explorar la cultura y el encanto de la ciudad.Servicios y zonas comunesNos enorgullecemos de garantizar que los huéspedes puedan relajarse en un entorno fresco y cómodo. La decoración de cada una de nuestras habitaciones siempre es fácil de ver; están totalmente equipadas con todos los toques modernos que esperarías también. Reserva habitaciones privadas con terrazas que ofrecen bonitas vistas panorámicas de este lugar único. Alternativamente, para una escapada verdaderamente memorable, hay una suite privada en el ático. También ofrecemos dormitorios pequeños, grandes y solo para mujeres para amigos o viajeros solitarios. Y por supuesto, tendrás acceso a todas nuestras facilidades, incluyendo wifi gratuito, salas de reuniones, espacios chill-out y mucho más.Otros aspectos destacablesNos enorgullecemos de garantizar que los huéspedes puedan relajarse en un entorno fresco y cómodo. La decoración de cada una de nuestras habitaciones siempre es fácil de ver; están totalmente equipadas con todos los toques modernos que esperarías también. Reserva habitaciones privadas con terrazas que ofrecen bonitas vistas panorámicas de este lugar único. Alternativamente, para una escapada verdaderamente memorable, hay una suite privada en el ático. También ofrecemos dormitorios pequeños, grandes y solo para mujeres para amigos o viajeros solitarios. Y por supuesto, tendrás acceso a todas nuestras facilidades, incluyendo wifi gratuito, salas de reuniones, espacios chill-out y mucho más.HABITACIONES PRIVADAS: están disponibles con baño privado. Todas las literas tienen una pantalla de privacidad. Todas las habitaciones incluyen: tomas de corriente, luz LED, ropa de cama y ropa de cama, almacenamiento con cerradura, espejos de cuerpo entero, mesa y silla, unidad colgante para ropa, dispensadores de gel de baño, solo habitaciones individuales.DORMITORIOS:  todas las literas tienen una pantalla de privacidad y cada habitación tiene baños privados con duchas y aseos. Todas las habitaciones incluyen: tomas de corriente, luz LED, ropa de cama y ropa de cama, almacenamiento con cerradura, espejos de cuerpo entero, mesa y silla, unidad colgante de ropa.Número de registroHB-004525",Anfitrión: Generator,"Habitación en Barcelona, España",36 €,Horario de llegada: de 14:00 a 0:00,Salida antes de las 10:00,,,Nuevo,,1 litera,Baño compartido,,,,
https://www.airbnb.es/rooms/24343358?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-30&check_out=2024-12-05&source_impression_id=p3_1730226993_P3ZojhXsWziQgNzp&previous_page_section_name=1000&federated_search_id=7e323748-0e54-4d8b-ae9d-0f945a9ccc9e?adults=1,"Si buscas una elegancia eterna en el corazón del casco antiguo de Barcelona, acabas de encontrarla. Esta elegante habitación doble con balcón se encuentra en un edificio modernista de finales del siglo XIX. Estarás muy cerca de muchas de las atracciones más populares de Barcelona, y el vecindario está lleno de bares de moda, restaurantes tradicionales y tiendasEl espacioLa habitación Doble/Twin, totalmente renovada en el Som Nit Triomf, es elegancia sobria en su máxima expresión. Un diseño minimalista con paredes encaladas y muebles de mediados de siglo que cobran vida con los coloridos azulejos del piso y las puertas de madera originales que conducen a un balcón privado que da al exterior. Existen todas las instalaciones que esperarías de un hotel moderno: SmartTV, WiFi gratuito, aire acondicionado/calefacción y caja fuerte en la habitación. El baño incluye una ducha moderna y artículos de aseo gratuitos. Las habitaciones disponen de 1 cama de matrimonio o 2 camas individuales, sujetos a disponibilidad. Las habitaciones disponen de balcón o terraza, sujeto a disponibilidad. Tamaño de las habitaciones 12 m². A la llegada, los huéspedes deben presentar un pasaporte/documento de identidad válido emitido por el gobierno y una tarjeta de crédito/débito o depósito en efectivo, como garantía, para cubrir posibles cargos adicionales. El impuesto municipal (tasa turística) se paga a la llegada. Los huéspedes deben realizar el registro de entrada y recoger la llave en la recepción (4ª planta del mismo edificio donde se encuentran las habitaciones).Número de registroHB-003657",Anfitrión: Som Nit Triomf,"Habitación en hostal en BARCELONA, España",97 €,Horario de llegada: de 15:00 a 23:00,Salida antes de las 11:00,,,"4,49",1202,,1 baño privado,,2 viajeros,1 dormitorio,
https://www.airbnb.es/rooms/52705619?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1991641045&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730226993_P36FGBy5XCymMS_0&previous_page_section_name=1000&federated_search_id=7e323748-0e54-4d8b-ae9d-0f945a9ccc9e?adults=1,"Apartamento centrico al lado de las Ramblas, catedral Gótica, plaza Catalunya,metros y paradas de autobuses cerca.Un Barrio excelente para caminar, ir a fiestas y conocer toda la cultura de Barcelona.",Quédate con Jan Christopher,"Habitación en Barcelona, España",60 €,Horario de llegada: de 15:00 a 21:00,Salida antes de las 12:00,51 €,,Nuevo,,,Baño compartido,2,,,1 cama de matrimonio
https://www.airbnb.es/rooms/1177426002003576868?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1928668580&search_mode=regular_search&check_in=2024-11-02&check_out=2024-11-07&source_impression_id=p3_1730226993_P3dvmCMYmhBYipfv&previous_page_section_name=1000&federated_search_id=7e323748-0e54-4d8b-ae9d-0f945a9ccc9e?adults=1,Quédate en este alojamiento único y disfruta de una visita inolvidable.Número de registroHUTB-482639,Anfitrión: Emilio,"Habitación en Barcelona, España",52 €,Horario de llegada: de 17:00 a 2:00,Salida antes de las 11:00,20 €,"Barcelona, Catalunya, España","4,69",13,,Baño compartido,,,,1 cama
https://www.airbnb.es/rooms/1247824320074399619?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1995473672&search_mode=regular_search&check_in=2024-12-19&check_out=2024-12-24&source_impression_id=p3_1730226993_P3zxlMd7pLesjgRu&previous_page_section_name=1000&federated_search_id=7e323748-0e54-4d8b-ae9d-0f945a9ccc9e?adults=1,"Disfruta de la sencillez de este alojamiento tranquilo y céntrico.El espacioOfrecemos económica habitación con  cama individual en el centro de la ciudad.- Situado entre Plaza España y  Plaza Catalunya y Las Ramblas.- Cerca de comercios, estación de metro, restaurantes y supermercados. Tienes todo lo que necesitas para tus vacaciones en Barcelona.- La estación de metro más cercana es Passeig de Gracia.- La puerta de habitación se cierra con la llave.- WI-FI..Servicios y zonas comunesRopa de cama y toallas incluidas en el precio.Servicios:- Aire acondicionado tiene precio de 10€/dia.- Servicio de lavandería 10 euros por lavado.- Servicio de consigna de equipaje: 10 euros hasta las 18:00, luego 5 euros por hora, pero no más de las 20:00 (solo el día de salida, previa solicitud).- Cuna, 10 euros por día, sujeta a disponibilidad.- Limpieza durante la estancia: 10 euros por día (opcional).Cambio de ropa de cama y toallas:- para estancias de 5 días, el tercer día de estancia;- para estancias superiores a 5 días, cada 4 días de estancia;- cambio no programado de ropa de cama o toallas 10 euros.Por motivos de seguridad, el chat de Airbnb es el canal preferido para comunicarse con los huéspedes.Otros aspectos destacables:La cocina y 1 baño se comparten con otros huéspedes. Las áreas comunes se limpian diariamente.Esta es una casa familiar, por lo que pedimos a los huéspedes que mantengan bajos los niveles de ruido después de las 22:00 p.m.No se permite la entrada al apartamento a huéspedes adicionales (que no hayan pagado su estancia) a menos que se acuerde previamente.Número de registroHUTB-001234",Anfitrión: Kristina,"Habitación en Barcelona, España",28 €,Horario de llegada: de 16:00 a 20:00,Salida antes de las 11:00,24 €,"Barcelona, Catalunya, España",Nuevo,,,Baño compartido,,,,1 cama
https://www.airbnb.es/rooms/1258050710501185022?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-23&check_out=2024-11-28&source_impression_id=p3_1730226993_P3pJEXIV5Gm1kLfO&previous_page_section_name=1000&federated_search_id=7e323748-0e54-4d8b-ae9d-0f945a9ccc9e?adults=1,Este anfitrión tiene 191 evaluaciones de otros alojamientos. Échales un vistazo,Anfitrión: Kiko,"Alojamiento entero: apartamento en Barcelona, España",75 €,Horario de llegada: de 15:00 a 20:00,Salida antes de las 11:00,80 €,"Barcelona, Catalunya, España",Nuevo,,,1 baño,6,6 viajeros,3 dormitorios,3 camas
https://www.airbnb.es/rooms/1210295928648344258?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1962958323&search_mode=regular_search&check_in=2024-11-04&check_out=2024-11-09&source_impression_id=p3_1730226993_P3KJPgCNP6PU2g-x&previous_page_section_name=1000&federated_search_id=7e323748-0e54-4d8b-ae9d-0f945a9ccc9e?adults=1,"Cancelación gratuita antes del 3 nov. Si cancelas antes de la fecha de llegada (4 nov.), recibirás un reembolso parcial.",Anfitrión: Vero,"Habitación en Barcelona, España",36 €,Horario de llegada: de 15:00 a 20:00,Salida antes de las 12:00,31 €,"Barcelona, Catalunya, España",Nuevo,,,Baño compartido,1,,,1 cama
https://www.airbnb.es/rooms/1162260256190344733?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-12-10&check_out=2024-12-15&source_impression_id=p3_1730226993_P330JUE9-CZW39R4&previous_page_section_name=1000&federated_search_id=7e323748-0e54-4d8b-ae9d-0f945a9ccc9e?adults=1,Apartamento acogedor recién reformadoNúmero de registroExempt,Anfitrión: Lorenzo And  Cristina,"Alojamiento entero: apartamento en Barcelona, España",99 €,Horario de llegada: de 15:00 a 1:00,Salida antes de las 11:00,35 €,,Nuevo,,,1 baño,,2 viajeros,1 dormitorio,1 cama
https://www.airbnb.es/rooms/1260094358313659968?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-04&check_out=2024-11-09&source_impression_id=p3_1730226993_P3fJ2uHwhHxW184R&previous_page_section_name=1000&federated_search_id=7e323748-0e54-4d8b-ae9d-0f945a9ccc9e?adults=1,"Me encanta viajar, compartir y conocer lugares y personas. Soy muy trabajadora, tengo 3 hijos y a pesar de ser joven ya tengo 2 nietos.",Anfitrión: Diana Maria,"Alojamiento entero: loft en Barcelona, España",73 €,Horario de llegada: de 15:00 a 22:00,Salida antes de las 11:00,28 €,"Barcelona, Catalunya, España",Nuevo,,,1 baño,3,3 viajeros,1 dormitorio,2 camas
https://www.airbnb.es/rooms/40553667?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-03&check_out=2024-11-08&source_impression_id=p3_1730226993_P3T3TT3CI6hqjKYc&previous_page_section_name=1000&federated_search_id=7e323748-0e54-4d8b-ae9d-0f945a9ccc9e?adults=1,"Cama en una habitación compartida mixta con entrada privada. Cada cama tiene su propia cortina opaca, casillero debajo de la cama (puedes traer tu propia cerradura o alquilar una en la recepción), un enchufe personal y un pequeño estante.Esta habitación cuenta con:Aire acondicionado / Calefacción / WIFI gratuito/ Baño compartido en el pasillo / Toallas (suplemento y bajo petición)El espacioEl Loft Hostel Barcelona La Pedrera es un acogedor hostal donde basamos nuestra filosofía en hospitalidad, amabilidad y compromiso con el huésped. Valoramos la construcción de relaciones con nuestros huéspedes y nos alegra ver a nuestros huéspedes disfrutando de su estancia aquí. De ahí priorizamos el compromiso social y cultural.Vemos el Loft Hostel Barcelona La Pedrera como un contenedor cultural. Contamos con un rico calendario de actividades para todos los gustos, y nos aseguramos de seleccionar siempre los mejores eventos de la rica oferta de opciones en la ciudad de Barcelona para compartir con nuestros huéspedes.El Loft Hostel Barcelona La Pedrera es un hostal que se centra en la combinación de historia y diseño. Ha sido remodelada con un diseño moderno, minimalista, y con un toque subterráneo, conservando el diseño modernista que caracteriza al edificio. Con nuestro diseño de interiores vanguardista y acogedor, nuestra intención es que te sientas como en casa.Asignamos algunos de nuestros ingresos a la ayuda social. Colaboramos con diferentes organizaciones benéficas, organizando eventos culturales y benéficos para contribuir a crear una sociedad para el bien común.Servicios y zonas comunesDesayuno 5,5 € por persona y día en una cafetería junto al hotel: 365.Zumo, café o té + 1 sándwich y una pastrie.Tasa turística NO incluida: 5,50 € por persona y por día. A partir del 01/04/2024 costará 5,50 € por persona y noche.Otros aspectos destacablesDesayuno 5,5 € por persona y día en una cafetería junto al hotel: Sandwichérie.Zumo, café o té + 1 sándwich (2 para elegir) o croissant / Pain au chocolat.Tasa turística NO incluida: 5,50 € por persona y por día. A partir del 01/04/2024 costará 5,50 € por persona y noche.Número de registroAJ000516",Anfitrión: Lfdg Hostels,"Habitación en Barcelona, España",23 €,Horario de llegada: de 15:00 a 2:00,Salida antes de las 11:00,,"Barcelona, Catalunya, España","4,53",349,,Baño compartido,,,,12 camas
